Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.1122,-0.7989
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.2698,-0.6151
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.0,-0.4847
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.2172,-0.432
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1268,-0.4068
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.3512,-0.3916
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.6765,-0.3235
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.8611,0.8442,0.5435,-0.3176
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.238,-0.3155
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.4504,-0.2954
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.2167,-0.2894
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.5586,-0.2359
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.3733,-0.2282
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.3333,-0.2133
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.6083,-0.2075
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.354,-0.2075
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.6765,-0.1873
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.613,-0.1667
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7557,-0.1312
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.7443,-0.1195
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.7896,-0.118
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7851,0.7033,0.6765,-0.1086
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.6263,-0.0998
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9026,-0.0974
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.4836,-0.0889
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.8688,-0.0875
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.3618,-0.0841
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.8591,-0.0786
