Korpus,Family,query_id,kueri,B,GPL,exp6,Δ(exp6-B)
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.4253,-0.472
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.5207,-0.4497
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.5103,-0.4306
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.4254,-0.3749
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.4162,-0.3579
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.2729,-0.3253
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.6256,-0.3169
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.5573,-0.3018
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.5428,-0.2736
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.6756,-0.1831
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,0.8688,-0.1093
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.6037,-0.1057
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.9123,-0.0877
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.8123,-0.054
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9643,-0.0357
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.9106,-0.0215
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.6594,0.0115
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2908,0.1945,0.3525,0.0617
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.279,0.1373
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7448,0.933,0.8966,0.1518
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6148,0.7119,0.7941,0.1793
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,0.2527
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4398,0.6553,0.7051,0.2653
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.6314,0.2903
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.4631,0.3117
