query_id,query,model,versi,db,rank,sutta_id,ref,author,retrieved_text,cosine_sim,grade
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp5.4.3,id,1,sn11.5,sn11.5:md6,anggara,“‘Ini adalah gagasanku sendiri Cara untuk melawan si dungu adalah: Ketika seseorang mengetahui bahwa musuhnya marah Maka ia harus dengan penuh perhatian mempertahankan kedamaian.’,0.40268874168395996,
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp5.4.3,id,2,sn11.25,sn11.25:md3,anggara,"“‘Jangan biarkan kemarahan menguasaimu; Jangan marah pada mereka yang marah. Tanpa-kemarahan dan tidak-membahayakan, selalu berdiam Dalam [hati] para mulia. Bagaikan gunung salju yang longsor Kemarahan menggilas orang-orang jahat.’”",0.28705936670303345,
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp5.4.3,id,3,thag6.12,thag6.12:md5,anggara,"Jik kemarahan muncul padamu, Refleksikanlah perumpamaan gergaji; Jika ketagihan pada rasa kecapan muncul padamu, Ingatlah perumpamaan daging anak.",0.2826101779937744,
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp5.4.3,id,4,sn21.9,sn21.9:md6,anggara,"“Mengapa engkau marah? Jangan marah! Ketidak-marahan adalah baik bagimu, Tissa. Adalah untuk melenyapkan kemarahan, keangkuhan, dan perbuatan menghina, Maka kehidupan suci dijalani, O Tissa.”",0.06287097185850143,
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp5.4.3,id,5,thig13.3,thig13.3:md3,anggara,"Cāpā Therī: “Jangan marah padaku, pahlawan besar! Jangan marah padaku, sang bijaksana agung! Jika engkau terbenam dalam kemarahan maka engkau tidak dapat mempertahankan kemurnian, Apalagi berlatih keras.”",0.055483557283878326,
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp5.4.3,id,1,an7.61,an7.61:md10,anggara,"(7) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus melakukan [olah raga] berjalan mondar-mandir, mengawasi apa yang ada di belakangmu dan apa yang ada di depanmu, dengan organ-organ indriamu tertarik ke dalam dan pikiranmu ditenangkan. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3874472379684448,
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp5.4.3,id,2,an7.61,an7.61:md7,anggara,"(4) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus menarik kedua telingamu dan menggosok bagian-bagian tubuhmu dengan tanganmu. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.35743165016174316,
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp5.4.3,id,3,an7.61,an7.61:md8,anggara,"(5) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus bangkit dari dudukmu, menggosok matamu dengan air, menatap segala penjuru, dan menatap konstelasi dan bintang-bintang. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.308472216129303,
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp5.4.3,id,4,mn32,mn32:md30,anggara,"“Kalian semua telah berkata dengan benar, Sāriputta, masing-masing dengan caranya masing-masing. Dengarkanlah juga dariKu bhikkhu seperti apakah yang dapat menerangi Hutan pohon Sāla Gosinga. Di sini, Sāriputta, ketika seorang bhikkhu telah kembali dari perjalanan menerima dana makanan, setelah makan, ia duduk bersila, menegakkan badan, dan menegakkan perhatian di depannya, bertekad: ‘Aku tidak akan bangkit dari posisi duduk ini hingga batinku terbebas dari noda-noda melalui ketidak-melekatan.’ Bhikkhu seperti itu dapat menerangi Hutan pohon Sāla Gosinga.”",0.001454038661904633,
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp5.4.3,id,5,mn101,mn101:md10,anggara,"“Ketika hal ini dikatakan, Para Nigaṇṭha berkata kepadaKu: ‘Teman, Nigaṇṭha Nātaputta adalah maha-tahu dan maha-melihat, memiliki pengetahuan dan penglihatan lengkap sebagai berikut: “Apakah Aku berjalan atau berdiri atau terlelap atau terjaga, pengetahuan dan penglihatan terus-menerus dan tanpa terputus ada padaKu.” Ia berkata sebagai berikut: “Para Nigaṇṭha, kalian telah melakukan perbuatan jahat di masa lampau, padamkanlah dengan melaksanakan pertapaan keras. Dan ketika kalian di sini dan saat ini terkendali dalam jasmani, ucapan, dan pikiran, itu berarti tidak melakukan perbuatan jahat di masa depan. Jadi dengan memusnahkan perbuatan lampau melalui pertapaan dan dengan tidak melakukan perbuatan baru, maka tidak akan ada akibat di masa depan … maka segala penderitaan akan menjadi padam.” Kami menyetujui dan menerima ini, dan kami merasa puas.’",0.0009934153640642762,
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp5.4.3,id,1,sn12.23,sn12.23:md13,anggara,"“Aku mengatakan, para bhikkhu, bahwa penderitaan juga memiliki penyebab terdekat; bukan tanpa penyebab terdekat. Dan apakah penyebab terdekat bagi penderitaan? Ini harus dijawab: kelahiran.",0.9760944247245789,
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp5.4.3,id,2,snp3.12,snp3.12:md11,anggara,"Penderitaan apapun yang muncul di dunia, Semuanya disebabkan oleh kesadaran. Dengan lenyapnya ksadaran, Maka tidak ada kemunculan penderitaan.",0.9260392189025879,
