Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,Δ(exp4.3-B)
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,-0.4472,0.0,-0.5407,0.0526,-0.1081,-0.8944,0.0,,,-0.7454,-0.3591,-0.5789,-0.5789,-0.6,-0.6,-1.6015
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.2236,0.1118,-0.1026,0.4472,0.4472,-0.7826,-0.8721,-0.6325,-0.1118,-0.3536,0.6669,-0.3591,-0.1118,-0.3536,0.6669,-0.3591,-1.3193
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.7906,0.1539,0.2,0.5643,0.0527,0.5643,0.5643,-0.9,-0.2236,0.9747,0.9747,0.4,0.4,-0.0513,0.3591,-0.6882,0.2052,-0.9
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,0.6708,0.7071,0.2887,0.0,0.0,0.0,0.866,0.866,0.866,0.8944,0.8944,0.866,0.866,0.8944,0.8944,-0.866
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1026,0.7071,0.8944,-0.2,0.3536,0.8944,0.8944,-0.1026,-0.7071,0.9487,-0.6708,0.4472,-0.6882,0.2236,-0.6708,0.4472,0.7906,0.4472,-0.8097
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,,,-0.7071,0.7071,,-0.4472,-0.3441,-0.7071,,-0.3536,-0.8944,-0.6708,-0.4617,-0.4617,-0.4617,0.0,-0.7913
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.0513,0.7071,0.7071,0.5789,-0.8208,-0.3536,-0.3536,-0.7182,-0.7826,-0.6708,-0.4472,-0.4472,0.0,-0.1539,-0.4472,-0.4472,-0.5643,-0.5643,-0.7313
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.866,0.7826,0.8944,0.7826,0.8721,0.0,-0.1814,0.6708,0.3536,0.7071,0.3536,0.8944,0.3536,0.7071,0.3536,0.3536,-0.535
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.4472,-0.1581,-0.6669,0.7826,0.3536,-0.1539,-0.2236,0.7071,0.3591,0.3591,0.8721,0.8721,0.8721,0.2236,0.8721,0.8721,-0.5123
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.2236,-0.1118,0.3536,-0.1118,-0.1118,-0.1118,0.4472,0.7071,0.7071,0.7071,,,0.7071,0.7071,,,-0.4472
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.4743,-0.1081,-0.0513,-0.8944,-0.5774,0.9733,0.0,0.2052,0.9,0.9,0.7,0.6,0.8208,0.8208,0.2052,0.7,-0.4472
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,-0.2294,0.7379,-0.6669,-0.9177,0.2294,-0.9177,0.2294,-0.0527,0.7,0.7,-0.9747,0.0513,0.3591,0.3591,-0.9747,-0.6156,-0.4375
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,,-0.5774,0.5774,0.3627,-0.2582,0.7826,0.0,0.8721,,,0.7071,0.866,0.8721,0.7746,0.7071,0.8944,-0.3627
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.6882,0.4,-0.2052,-0.6669,-0.6708,0.8208,-0.7,-0.2236,-0.8721,-0.2236,-0.9,-0.8944,-0.8944,-0.8944,-0.6708,0.4472,-0.3464
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.6669,0.2635,0.3162,-0.1581,-0.5643,-0.1581,0.4617,0.4472,0.3354,0.5774,0.3536,0.7071,0.8944,0.7826,0.9487,0.9487,0.866,0.8944,-0.3315
