Korpus,Family,query_id,kueri,B,GPL,exp5.4.3,Δ(exp5.4.3-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.3898,-0.4922
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4889,-0.4536
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.5815,-0.3594
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.3673,-0.3432
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.3673,-0.3421
ID,multilingual-e5-base,14,apa makna kekosongan,0.924,0.0,0.655,-0.269
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.4005,-0.2474
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.7227,-0.2311
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.1947,-0.2129
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.845,0.6886,0.6395,-0.2055
ID,gte-multilingual-base,14,apa makna kekosongan,0.7823,0.6494,0.5859,-0.1964
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.6662,-0.1671
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6187,-0.1622
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.689,-0.1443
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.2213,-0.1339
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.1774,-0.1065
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.6176,-0.1043
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.765,-0.0514
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8589,-0.0384
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9016,0.8196,0.8793,-0.0223
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4538,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,1.0,0.0
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.6256,0.005
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9771,0.0067
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9435,0.0116
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.9361,0.0155
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.5586,0.0243
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8909,0.0318
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9959,0.04
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,1.0,0.0441
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.8306,0.0499
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5423,0.4908,0.6043,0.062
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.9513,0.073
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.9267,0.0789
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.9513,0.0926
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.9312,0.1023
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8869,0.1305
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,1.0,0.1337
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.9079,0.1338
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.7024,0.1489
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.7473,0.1491
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.8651,0.1557
