Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,-0.2887,-1.1547
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.3162,-0.3536,-0.3536,-0.6698
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.2962,-0.9177,-0.9177,-0.6215
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.2887,-0.6049
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1026,0.3,-0.5944
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.7906,-0.5643,-0.5643
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,0.3591,-0.5353
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,-0.2294,-0.5181
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.7379,0.3591,-0.5069
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.0513,-0.4985
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.3591,-0.3354,-0.4976
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.1054,-0.459
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,0.2294,-0.4375
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,-0.1026,-0.2052,-0.4288
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.7826,0.3591,-0.3664
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-0.0527,-0.3605
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7906,0.6156,0.5643,-0.2263
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.8721,0.6669,-0.1991
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.7826,-0.5643,-0.1954
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.6882,0.4104,-0.1166
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.7906,-0.0754
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.6669,-0.0513
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.6708,-0.0363
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.6669,0.2635,0.6325,-0.0344
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.0,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,0.7071,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.7071,,0.7071,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,-0.7071,0.0
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,0.0383
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.5643,0.4472,0.7255,0.1612
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5441,0.3078,0.8,0.2559
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.0,0.2635
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.7182,0.271
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9747,0.6669,0.3782
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,,-0.3354,0.3901
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.3591,0.3591,0.8721,0.513
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.8944,0.5408
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2294,0.2236,0.7906,0.5612
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.7071,0.6017
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,0.0,0.7071
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,0.7071
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.6,0.8236
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.0513,0.7071,0.7826,0.8339
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.8721,0.8721
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.9487,0.9487
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.8721,1.03
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.7255,1.0791
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.5923,1.1193
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.6669,0.6882,0.7906,1.4575
