Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.0,-0.9611
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.0565,-0.7599
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.1595,-0.6738
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.1667,-0.5427
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4002,-0.5423
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.2739,-0.5002
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.2451,-0.4768
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.5004,-0.4405
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.5346,-0.3474
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6356,0.3809,0.2911,-0.3445
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.5441,-0.315
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.5518,-0.3069
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.6533,-0.2786
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.7433,-0.2567
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.7314,-0.2245
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.7013,-0.2193
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.7407,-0.2131
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.6767,-0.2016
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,-0.1879
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.7302,-0.1671
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.8332,-0.1668
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.4829,-0.165
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.7238,-0.1425
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.6755,-0.1381
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.5769,-0.1325
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.2784,-0.1292
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.5922,-0.1183
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8907,-0.0874
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6981,-0.0828
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2908,0.1945,0.2133,-0.0775
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9033,-0.0526
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,0.9344,-0.0437
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9373,0.7637,0.8959,-0.0414
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.2205,-0.0411
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.934,-0.0364
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.541,-0.0314
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.808,-0.0209
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.2146,-0.0016
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.4756,0.0114
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6563,0.0228
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.3928,0.0376
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.6393,0.0858
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.0928
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.8954,0.0951
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.6447,0.1104
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.3403,0.1159
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.7916,0.1436
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7263,0.9098,0.8743,0.148
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7263,0.852,0.8809,0.1546
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,1.0,0.1667
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9319,0.1755
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3392,0.1878
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.6429,0.1891
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.3729,0.2312
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,0.2527
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.6798,0.3387
