Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp4.3-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.4542,0.3392,0.1427,0.5087,0.467,0.2183,0.5087,0.2261,0.5235,0.5673,0.7797,0.5792,0.524,-0.4913
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,0.2773,0.1312,0.5079,1.0,1.0,0.6312,0.5182,0.9435,1.0,1.0,0.7001,0.9287,1.0,-0.4818
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.4704,0.5087,0.4704,0.7867,0.6548,0.5087,0.4273,0.3919,0.2203,0.3919,0.533,0.3919,0.3919,-0.4139
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.76,0.6391,0.2929,0.7261,0.476,0.6568,0.6469,0.7867,0.6534,0.7817,0.7817,0.7409,0.5119,-0.3531
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.7227,0.7699,0.7896,0.8589,0.8688,0.5182,0.3392,0.7227,1.0,1.0,1.0,1.0,0.9125,1.0,-0.2773
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.0875,0.1877,0.214,0.1461,0.5087,0.1461,0.5969,0.9563,0.6505,0.7797,0.4818,0.6667,0.851,-0.2752
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.6716,0.1131,0.786,0.529,0.5318,0.6052,0.7252,0.4682,0.3721,0.6667,0.6667,0.851,0.8235,-0.2748
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3156,0.4753,0.4542,0.6514,0.6695,0.4632,0.502,0.3383,0.0713,0.3849,0.7084,0.7084,0.6815,0.6667,0.7084,-0.2443
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.8432,0.5586,0.7302,0.9125,0.9026,0.7252,0.7739,0.9563,0.8688,0.9076,0.851,0.851,0.851,-0.2261
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3431,0.0,0.0,0.2887,0.0,0.0,0.0,0.1018,0.1446,0.6095,0.0,0.3028,0.305,0.2973,0.1105,-0.1985
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8997,0.7104,0.7104,0.3948,0.5875,0.7591,0.7797,0.7591,0.7232,0.9513,0.7021,0.7945,0.6667,0.5536,0.8849,-0.1765
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,0.9563,0.856,0.6774,0.8948,0.8152,1.0,0.8304,0.9076,1.0,0.8869,0.9287,0.7034,0.7945,-0.1696
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.6548,0.6844,0.8539,0.2133,0.3008,0.5531,0.7817,0.7373,0.7714,0.9076,0.8362,0.8997,0.8997,-0.1618
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.7699,0.2005,0.6675,0.3333,0.476,0.476,0.6725,0.5734,0.6725,0.6725,0.4253,0.5536,0.5734,-0.1588
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,1.0,0.9513,0.6539,1.0,1.0,0.9026,0.8461,1.0,1.0,0.88,0.7719,0.8721,0.9563,-0.1539
ID,gte-multilingual-base,14,apa makna kekosongan,0.8688,0.8688,0.8688,0.2025,0.6864,1.0,0.6427,0.7739,0.7302,0.5855,1.0,1.0,1.0,0.9435,0.9287,-0.1386
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.4475,0.471,0.2335,0.5545,0.5325,0.8123,0.7508,0.6873,0.6499,0.6936,0.6023,0.5536,0.7154,-0.1361
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.2104,0.2916,0.2335,0.149,0.0924,0.1765,0.0,0.5792,0.3284,0.6667,0.4258,0.5182,0.4695,-0.1131
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6765,0.618,0.6151,0.5644,0.4838,0.6003,0.6745,0.4971,0.5747,0.6878,0.6873,0.6873,0.6032,0.6032,0.6617,-0.1018
ID,multilingual-e5-base,16,harta yang paling bernilai,0.9513,1.0,1.0,0.4966,0.7252,1.0,1.0,0.8573,0.8573,0.9435,1.0,0.9513,0.8997,0.9076,0.9513,-0.094
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5635,0.5812,0.6427,0.3712,0.5677,0.4921,0.502,0.4434,0.4731,0.6279,0.6662,0.8284,0.8362,0.7797,0.8721,-0.0904
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,0.7995,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,0.9076,0.9563,0.9125,1.0,0.9513,1.0,-0.0875
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1539,0.4522,0.3392,0.3392,0.4105,0.2901,0.2999,0.5269,0.0713,0.4744,0.6774,0.616,0.6647,0.5673,0.7006,-0.0826
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,0.8869,0.8869,0.9125,0.9287,1.0,1.0,0.9287,0.9563,1.0,0.9513,0.9513,0.9563,0.9513,-0.0713
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.5784,0.532,0.5784,0.5784,0.6446,0.4011,0.5784,0.5784,0.5074,0.4926,0.4011,0.4011,0.4011,0.4926,0.4011,-0.071
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,1.0,0.8869,1.0,1.0,1.0,0.9513,0.9435,0.9513,0.9513,0.9513,0.8638,0.8638,0.9513,-0.0565
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8152,0.736,0.6923,0.7508,0.616,0.6844,0.7227,0.8432,0.7714,0.5635,0.6873,0.6873,0.6647,0.6032,0.6725,-0.0438
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,0.6992,0.3452,0.8304,1.0,1.0,0.9435,0.9563,1.0,1.0,0.9563,0.8688,1.0,1.0,-0.0437
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.6923,0.851,0.851,0.7006,0.644,0.7149,0.8461,0.7227,0.5821,0.6795,0.8284,0.8948,0.524,-0.0408
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
