Model,Versi,Korpus,nDCG@5
gpl-gte-multilingual-base,exp5.4.3,ID,0.7664
gpl-multilingual-e5-base,exp5.0,ID,0.7593
gpl-multilingual-e5-base,exp5.1,ID,0.7589
gpl-gte-multilingual-base,exp5.2,ID,0.7586
gpl-multilingual-e5-base,exp5.2,ID,0.756
multilingual-e5-base,exp5,ID,0.7509
gpl-gte-multilingual-base,exp5.3,ID,0.7495
gpl-multilingual-e5-base,exp5.3,ID,0.7469
gpl-gte-multilingual-base,exp5.4.2,ID,0.7428
gte-multilingual-base,exp5,ID,0.7359
gpl-multilingual-e5-base,exp4.3,ID,0.7349
gpl-multilingual-e5-base,exp5.4,ID,0.7345
gpl-gte-multilingual-base,exp5.1,ID,0.725
gpl-multilingual-e5-base,exp5.4.1,ID,0.7236
gpl-gte-multilingual-base,exp5.0,ID,0.7207
gpl-multilingual-e5-base,exp5.4.2,ID,0.7199
gpl-multilingual-e5-base,exp5.4.3,ID,0.7198
multilingual-e5-base,B,ID,0.7185
gpl-gte-multilingual-base,exp5.4,ID,0.7005
gpl-gte-multilingual-base,exp4.3,ID,0.6949
gpl-gte-multilingual-base,exp5.4.1,ID,0.6893
gte-multilingual-base,B,ID,0.6803
gpl-gte-multilingual-base,exp4.2,ID,0.6774
gpl-multilingual-e5-base,exp4.2,ID,0.6727
gpl-gte-multilingual-base,GPL,ID,0.6608
gpl-gte-multilingual-base,exp4,ID,0.6589
gpl-multilingual-e5-base,exp3,ID,0.6518
gpl-gte-multilingual-base,exp3,ID,0.6505
gpl-gte-multilingual-base,exp4.1,ID,0.6488
bge-m3,B,ID,0.6478
gpl-multilingual-e5-base,exp1,ID,0.6437
gpl-gte-multilingual-base,exp1,ID,0.6412
gpl-multilingual-e5-base,exp4.1,ID,0.6281
gpl-multilingual-e5-base,exp2,ID,0.6246
gpl-multilingual-e5-base,exp4,ID,0.6103
gpl-multilingual-e5-base,GPL,ID,0.6103
BM25,B,ID,0.6034
gpl-gte-multilingual-base,exp2,ID,0.5882
