Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp6-B)
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8432,0.5586,0.7026,0.8638,0.9026,0.7252,0.7302,1.0,0.6864,0.6864,0.8152,0.8152,0.8152,0.8383,0.8589,0.8589,0.354,-0.4405
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,0.8227,0.8154,0.8154,0.9254,0.9254,0.912,0.9202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4602,-0.4298
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.1328,0.2167,0.2167,0.3403,0.3403,0.3253,0.428,0.6921,0.1178,0.0664,0.1901,0.3825,0.2831,0.2831,0.6921,0.6921,0.2167,-0.2894
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.4773,0.2698,0.0713,0.5087,0.4316,0.354,0.616,0.5594,0.4464,0.4464,0.354,0.5108,0.0437,0.2846,0.1131,0.5673,0.5973,-0.2876
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,0.5725,0.4836,0.5725,0.519,0.5725,0.5725,0.874,0.5725,0.519,0.519,0.5725,0.519,0.183,0.374,0.6179,0.6105,-0.2546
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6667,0.9125,0.5973,0.5516,0.6229,0.5516,0.6101,0.8304,0.6795,0.6745,0.9435,0.8073,0.6795,0.6795,0.7867,0.7925,0.3432,-0.2232
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.0,0.0565,0.7665,0.5296,0.467,0.0,0.0,1.0,0.8152,0.3957,0.0,0.9125,0.7227,0.0,-0.214
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7591,0.7154,0.7817,0.6716,0.6716,0.6229,0.6795,0.6052,0.8156,0.7817,0.738,0.7232,0.5615,0.5742,0.7817,0.7817,0.5177,-0.2005
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7557,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,0.8638,0.9125,0.9125,1.0,0.9513,1.0,0.9125,1.0,0.9513,0.7113,-0.1756
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.6747,0.8498,0.7562,0.8498,0.7752,0.6771,0.7072,0.7984,0.7562,0.5933,0.8648,0.8648,0.8324,0.7752,0.781,0.9012,0.8896,0.8896,0.5003,-0.1744
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.2183,0.4504,0.4818,0.6499,0.8304,0.9563,1.0,0.8362,1.0,0.9026,0.8008,0.9435,0.8869,0.8304,0.8432,0.7149,0.6003,-0.1455
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4125,0.2104,0.2055,0.0,0.0487,0.1131,0.1696,0.0,0.0565,0.736,0.0875,0.4047,0.0875,0.0437,0.1312,0.0875,0.0875,0.0,0.2748,-0.1377
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.8869,0.9026,0.9563,0.9026,0.8869,0.9026,1.0,0.9563,0.9125,0.9125,0.9563,0.9513,0.9563,0.9125,0.9563,1.0,0.8638,-0.1362
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.7739,0.6765,0.9125,0.8087,0.8087,0.8087,0.8432,0.9563,1.0,1.0,1.0,1.0,0.9563,0.9563,1.0,1.0,0.7557,-0.1081
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,0.9563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688,-0.0875
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8304,0.733,0.8383,0.8869,0.8869,0.9076,0.9513,0.8156,0.9513,0.9513,0.9435,0.9513,0.8721,0.88,1.0,1.0,0.9287,-0.0713
