query_id,query,model,versi,db,rank,sutta_id,ref,author,retrieved_text,cosine_sim,grade
1,cara mengatasi kemarahan,multilingual-e5-base,exp5.base,id,1,sn11.24,sn11.24:md6,anggara,“‘Bawalah kemarahan ke bawah kendalimu; Jangan biarkan persahabatanmu rusak. Jangan menyalahkan seorang yang tidak bersalah; Jangan mengucapkan kata-kata yang bersifat memecah-belah. Bagaikan gunung salju yang longsor Kemarahan menggilas orang-orang jahat.’”,0.4336492717266083,
1,cara mengatasi kemarahan,multilingual-e5-base,exp5.base,id,2,sn11.4,sn11.4:md7,anggara,Sakka: “‘Ini adalah gagasanku sendiri Cara untuk melawan si dungu adalah: Ketika seseorang mengetahui bahwa musuhnya marah Maka ia harus dengan penuh perhatian mempertahankan kedamaian.’,0.3466818928718567,
1,cara mengatasi kemarahan,multilingual-e5-base,exp5.base,id,3,an7.64,an7.64:md24,anggara,"Demikianlah jerat kematian yang tersembunyi dalam pikiran telah mengambil wujud kemarahan. Seseorang harus memotongnya melalui pengendalian-diri, kebijaksanaan, kegigihan, dan pandangan [benar].",0.247328519821167,
1,cara mengatasi kemarahan,multilingual-e5-base,exp5.base,id,4,an7.64,an7.64:md4,anggara,"(3) “Kemudian, seorang musuh menghendaki musuhnya: ‘Semoga ia tidak berhasil!’ Karena alasan apakah? Seorang musuh tidak senang pada keberhasilan musuhnya. Ketika seorang yang marah dikuasai dan ditindas oleh kemarahan, jika ia memperoleh apa yang berbahaya, ia berpikir: ‘Aku telah memperoleh apa yang bermanfaat,’ dan jika ia memperoleh apa yang bermanfaat, ia berpikir: ‘Aku telah memperoleh apa yang berbahaya.’ Ketika, dengan dikuasai kemarahan, ia memperoleh hal-hal yang bertentangan ini, hal-hal itu akan mengarah pada bahaya dan penderitaan baginya untuk waktu yang lama. Ini adalah hal ke tiga yang memuaskan dan menguntungkan seorang musuh yang menghadapi seorang laki-laki atau perempuan yang marah.",0.139492928981781,
1,cara mengatasi kemarahan,multilingual-e5-base,exp5.base,id,5,an7.64,an7.64:md8,anggara,"(7) “Kemudian, seorang musuh menghendaki musuhnya: ‘Dengan hancurnya jasmani, setelah kematian, semoga ia terlahir kembali di alam sengsara, di alam tujuan yang buruk, di alam rendah, di neraka!’ Karena alasan apakah? Seorang musuh tidak senang jika musuhnya pergi ke alam tujuan yang baik. Ketika seorang yang marah dikuasai dan ditindas oleh kemarahan, ia melakukan perbuatan buruk melalui jasmani, ucapan, dan pikiran. Sebagai akibatnya, dengan masih dikuasai oleh kemarahan, dengan hancurnya jasmani, setelah kematian, ia terlahir kembali di alam sengsara, di alam tujuan yang buruk, di alam rendah, di neraka. Ini adalah hal ke tujuh yang memuaskan dan menguntungkan seorang musuh yang menghadapi seorang laki-laki atau perempuan yang marah.",0.1299643665552139,
2,cara mengatasi ngantuk,multilingual-e5-base,exp5.base,id,1,an7.61,an7.61:md9,anggara,"(6) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus memperhatikan persepsi cahaya; engkau harus mempersepsikan siang hari sebagai berikut: ‘Seperti halnya siang hari, demikian pula malam hari; seperti halnya malam hari, demikian pula siang hari.’ Demikianlah, dengan pikiran terbuka dan tidak tertutup, engkau harus mengembangkan pikiran yang dipenuhi dengan kecemerlangan. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.4026260077953338,
2,cara mengatasi ngantuk,multilingual-e5-base,exp5.base,id,2,an7.61,an7.61:md10,anggara,"(7) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus melakukan [olah raga] berjalan mondar-mandir, mengawasi apa yang ada di belakangmu dan apa yang ada di depanmu, dengan organ-organ indriamu tertarik ke dalam dan pikiranmu ditenangkan. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3874472081661224,
2,cara mengatasi ngantuk,multilingual-e5-base,exp5.base,id,3,an7.61,an7.61:md7,anggara,"(4) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus menarik kedua telingamu dan menggosok bagian-bagian tubuhmu dengan tanganmu. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3574316501617431,
2,cara mengatasi ngantuk,multilingual-e5-base,exp5.base,id,4,an7.61,an7.61:md8,anggara,"(5) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus bangkit dari dudukmu, menggosok matamu dengan air, menatap segala penjuru, dan menatap konstelasi dan bintang-bintang. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.308472216129303,
2,cara mengatasi ngantuk,multilingual-e5-base,exp5.base,id,5,an7.61,an7.61:md11,anggara,"“Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus berbaring pada sisi kanan dalam postur singa, dengan satu kaki di atas kaki lainnya, penuh perhatian dan memahami dengan jernih, setelah mencatat dalam pikiranmu gagasan untuk terjaga. Ketika engkau terjaga, engkau harus bangkit dengan segera, [dengan berpikir]: ‘Aku tidak akan terlena pada kenikmatan beristirahat, kenikmatan bermalas-malasan, kenikmatan tidur.’ Adalah dengan cara ini, Moggallāna, engkau harus berlatih.",0.2088812589645385,
