query_id,query,model,versi,db,rank,sutta_id,ref,author,retrieved_text,cosine_sim,grade
1,cara mengatasi kemarahan,gte-multilingual-base,exp5.base,id,1,sn11.24,sn11.24:md6,anggara,“‘Bawalah kemarahan ke bawah kendalimu; Jangan biarkan persahabatanmu rusak. Jangan menyalahkan seorang yang tidak bersalah; Jangan mengucapkan kata-kata yang bersifat memecah-belah. Bagaikan gunung salju yang longsor Kemarahan menggilas orang-orang jahat.’”,0.4336492717266083,
1,cara mengatasi kemarahan,gte-multilingual-base,exp5.base,id,2,sn11.4,sn11.4:md7,anggara,Sakka: “‘Ini adalah gagasanku sendiri Cara untuk melawan si dungu adalah: Ketika seseorang mengetahui bahwa musuhnya marah Maka ia harus dengan penuh perhatian mempertahankan kedamaian.’,0.3466818928718567,
1,cara mengatasi kemarahan,gte-multilingual-base,exp5.base,id,3,sn11.25,sn11.25:md3,anggara,"“‘Jangan biarkan kemarahan menguasaimu; Jangan marah pada mereka yang marah. Tanpa-kemarahan dan tidak-membahayakan, selalu berdiam Dalam [hati] para mulia. Bagaikan gunung salju yang longsor Kemarahan menggilas orang-orang jahat.’”",0.2870593667030334,
1,cara mengatasi kemarahan,gte-multilingual-base,exp5.base,id,4,thag6.12,thag6.12:md5,anggara,"Jik kemarahan muncul padamu, Refleksikanlah perumpamaan gergaji; Jika ketagihan pada rasa kecapan muncul padamu, Ingatlah perumpamaan daging anak.",0.282611072063446,
1,cara mengatasi kemarahan,gte-multilingual-base,exp5.base,id,5,an5.161,an5.161:md1,anggara,"“Para bhikkhu, ada lima cara ini untuk melenyapkan kekesalan yang dengannya seorang bhikkhu harus sepenuhnya melenyapkan kekesalan yang muncul terhadap siapa pun. Apakah lima ini? (1) Ia harus mengembangkan cinta-kasih terhadap orang yang kepadanya ia merasa kesal; dengan cara inilah ia harus melenyapkan kekesalan terhadap orang itu. (2) Ia harus mengembangkan belas-kasihan terhadap orang yang kepadanya ia merasa kesal; dengan cara inilah ia harus melenyapkan kekesalan terhadap orang itu. (3) Ia harus mengembangkan keseimbangan terhadap orang yang kepadanya ia merasa kesal; dengan cara inilah ia harus melenyapkan kekesalan terhadap orang itu. (4) Ia harus mengabaikan orang yang kepadanya ia merasa kesal dan tidak memperhatikannya; dengan cara inilah ia harus melenyapkan kekesalan terhadap orang itu. (5) Ia harus menerapkan gagasan kepemilikan kamma pada orang yang kepadanya ia merasa kesal, sebagai berikut: ‘Yang Mulia ini adalah pemilik kammanya, pewaris kammanya; ia memiliki kamma sebagai asal-mulanya, kamma sebagai sanak-saudaranya, kamma sebagai pelindungnya; ia akan menjadi pewaris kamma apa pun yang ia lakukan, baik atau buruk.’ Dengan cara inilah ia harus melenyapkan kekesalan terhadap orang itu. Ini adalah kelima cara untuk melenyapkan kekesalan yang dengannya seorang bhikkhu harus sepenuhnya melenyapkan kekesalan yang muncul terhadap siapa pun.”",0.184314414858818,
2,cara mengatasi ngantuk,gte-multilingual-base,exp5.base,id,1,an7.61,an7.61:md11,anggara,"“Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus berbaring pada sisi kanan dalam postur singa, dengan satu kaki di atas kaki lainnya, penuh perhatian dan memahami dengan jernih, setelah mencatat dalam pikiranmu gagasan untuk terjaga. Ketika engkau terjaga, engkau harus bangkit dengan segera, [dengan berpikir]: ‘Aku tidak akan terlena pada kenikmatan beristirahat, kenikmatan bermalas-malasan, kenikmatan tidur.’ Adalah dengan cara ini, Moggallāna, engkau harus berlatih.",0.208882138133049,
2,cara mengatasi ngantuk,gte-multilingual-base,exp5.base,id,2,dn34,dn34:md4,anggara,‘Apakah satu hal yang sangat membantu? Ketanpa-lelahan di dalam kondisi-kondisi yang bermanfaat ( appamādo kusalesu dhammesu ).,0.0031876612920314,
2,cara mengatasi ngantuk,gte-multilingual-base,exp5.base,id,3,mn32,mn32:md30,anggara,"“Kalian semua telah berkata dengan benar, Sāriputta, masing-masing dengan caranya masing-masing. Dengarkanlah juga dariKu bhikkhu seperti apakah yang dapat menerangi Hutan pohon Sāla Gosinga. Di sini, Sāriputta, ketika seorang bhikkhu telah kembali dari perjalanan menerima dana makanan, setelah makan, ia duduk bersila, menegakkan badan, dan menegakkan perhatian di depannya, bertekad: ‘Aku tidak akan bangkit dari posisi duduk ini hingga batinku terbebas dari noda-noda melalui ketidak-melekatan.’ Bhikkhu seperti itu dapat menerangi Hutan pohon Sāla Gosinga.”",0.0014540386619046,
2,cara mengatasi ngantuk,gte-multilingual-base,exp5.base,id,4,dn33,dn33:md246,anggara,‘Sembilan cara mengatasi kedengkian āghāta-paṭivinaya ). Kedengkian diatasi dengan pikiran: (a)–(i) “Ia telah melukaiku …” seperti (1) . “Apalah gunanya [memendam kedengkian]?”,0.0012309794547036,
2,cara mengatasi ngantuk,gte-multilingual-base,exp5.base,id,5,mn56,mn56:md55,anggara,"“Bagaimana menurutmu, perumah-tangga? Di sini beberapa Nigaṇṭha mungkin mengalami kesusahan, menderita, dan sakit keras dengan penyakit yang membutuhkan perawatan dengan air dingin, yang tidak diperbolehkan oleh sumpahnya dan ia akan menolak air dingin walaupun menginginkannya dan hanya menggunakan air panas yang diperbolehkan dan dengan demikian menjaga sumpahnya secara jasmani dan ucapan . Karena tidak mendapatkan air dingin maka ia akan mati. Sekarang, perumah-tangga, di manakah Nigaṇṭha Nātaputta menggambarkan kelahiran kembalinya terjadi ?”",0.0001671347999945,
3,apa penyebab penderitaan,gte-multilingual-base,exp5.base,id,1,sn12.23,sn12.23:md13,anggara,"“Aku mengatakan, para bhikkhu, bahwa penderitaan juga memiliki penyebab terdekat; bukan tanpa penyebab terdekat. Dan apakah penyebab terdekat bagi penderitaan? Ini harus dijawab: kelahiran.",0.9760944247245787,
3,apa penyebab penderitaan,gte-multilingual-base,exp5.base,id,2,sn22.19,sn22.19:md2,anggara,"“Perasaan adalah penderitaan … Persepsi adalah penderitaan … Bentukan-bentukan kehendak adalah penderitaan … Kesadaran adalah penderitaan. Penyebab dan kondisi bagi munculnya kesadaran adalah juga penderitaan. Karena kesadaran berasal-mula dari apa yang merupakan penderitaan, bagaimana mungkin ia adalah kebahagiaan?",0.8788148164749146,
3,apa penyebab penderitaan,gte-multilingual-base,exp5.base,id,3,an6.63,an6.63:md60,anggara,"“Dan apakah akibat dari penderitaan? Di sini, seseorang dikalahkan oleh penderitaan, dengan pikiran dikuasai oleh penderitaan, berdukacita, merana, dan meratap; ia menangis dengan memukul dadanya dan menjadi bingung. Atau dengan dikalahkan oleh penderitaan, dengan pikiran dikuasai oleh penderitaan, ia pergi mencari di luar, dengan berkata: ‘Siapakah yang mengetahui satu atau dua kata untuk mengakhiri penderitaan ini?’ Penderitaan, Aku katakan, berakibat pada kebingungan atau pada pencarian. Ini disebut akibat dari penderitaan.",0.8668799996376038,
