Model,Versi,Korpus,nDCG@5
gpl-gte-multilingual-base,exp5.2,ID,0.7832
gpl-multilingual-e5-base,exp5.1,ID,0.7818
gpl-gte-multilingual-base,exp5.3,ID,0.7693
multilingual-e5-base,B,ID,0.7681
gpl-multilingual-e5-base,exp5.4,ID,0.7664
multilingual-e5-base,exp5,ID,0.7647
gpl-multilingual-e5-base,exp5.3,ID,0.7629
gpl-multilingual-e5-base,exp5.2,ID,0.7558
gpl-gte-multilingual-base,exp5.1,ID,0.7543
gpl-gte-multilingual-base,exp5.4,ID,0.7506
gpl-gte-multilingual-base,exp5.4.3,ID,0.7477
gpl-multilingual-e5-base,exp4.3,ID,0.7431
gpl-multilingual-e5-base,exp5.0,ID,0.7407
gte-multilingual-base,exp5,ID,0.7246
gpl-gte-multilingual-base,exp5.0,ID,0.7218
gpl-gte-multilingual-base,exp5.4.2,ID,0.7202
gpl-multilingual-e5-base,exp5.4.1,ID,0.7163
gte-multilingual-base,B,ID,0.7135
gpl-gte-multilingual-base,exp4.3,ID,0.7121
gpl-gte-multilingual-base,GPL,ID,0.6938
gpl-multilingual-e5-base,exp5.4.2,ID,0.6929
gpl-gte-multilingual-base,exp4,ID,0.6929
gpl-gte-multilingual-base,exp4.2,ID,0.6928
gpl-multilingual-e5-base,exp5.4.3,ID,0.685
BM25,B,ID,0.6847
gpl-multilingual-e5-base,exp4.2,ID,0.6821
bge-m3,B,ID,0.6819
gpl-multilingual-e5-base,exp3,ID,0.6682
gpl-gte-multilingual-base,exp1,ID,0.6663
gpl-gte-multilingual-base,exp5.4.1,ID,0.6609
gpl-gte-multilingual-base,exp3,ID,0.6606
gpl-gte-multilingual-base,exp4.1,ID,0.66
gpl-multilingual-e5-base,exp1,ID,0.6571
gpl-multilingual-e5-base,exp4,ID,0.6362
gpl-multilingual-e5-base,GPL,ID,0.6338
gpl-multilingual-e5-base,exp4.1,ID,0.6278
gpl-multilingual-e5-base,exp2,ID,0.6107
gpl-gte-multilingual-base,exp2,ID,0.5854
