Korpus,Family,query_id,kueri,B,GPL,exp5,Δ(exp5-B)
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,-0.7454,-1.4709
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,-0.7454,-1.1926
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,-0.2887,-1.1547
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,-0.2887,-1.1547
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,-0.2887,-1.1547
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.5643,-0.8805
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.1026,-0.8097
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,-0.6669,-0.3315
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,0.0,-0.2868
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,0.3536,-0.2238
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,-0.2236,-0.2236
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.2236,-0.1711
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.7826,-0.1337
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,-0.1118,-0.1118
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7071,0.0
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.0,0.0
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,-0.2236,0.13
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.6708,0.3172
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,0.7071,0.3444
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,0.4472,0.4472
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.2887,0.6423
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.3536,0.6423
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.8944,0.6708
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,0.7379,0.7379
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1118,,0.866,0.7542
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.8944,0.8944
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.8944,0.8944
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,0.4743,0.9331
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.4472,1.1543
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.866,1.5731
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,0.9487,1.6742
