Korpus,Family,query_id,kueri,B,GPL,exp3,Δ(exp3-B)
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,-0.3536,-1.2196
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,-0.6325,-1.2099
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,-0.2887,-1.1547
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,-0.3627,-1.0882
ID,multilingual-e5-base,16,harta yang paling bernilai,0.3536,,-0.7071,-1.0607
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,-0.8944,-0.8944
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.1581,-0.8652
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.2236,-0.6424
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.2887,-0.6049
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.3536,-0.3536
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,-0.3536,-0.3536
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,0.0,-0.3536
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,-0.5774,-0.2887
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,-0.2236,-0.2236
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.2052,,0.0,-0.2052
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.2887,-0.1585
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.2635,-0.1312
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,-0.7826,-0.0571
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7071,0.0
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,0.4104,0.1236
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,0.5774,0.2147
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,-0.1581,0.3007
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.3536,0.3536
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.3536,0.3536
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.3689,0.3689
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7826,0.429
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,0.3536,0.5017
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.7255,0.5019
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.527,0.527
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.1539,0.861
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,0.866,0.866
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.7071,1.0607
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.7071,1.0607
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.8944,1.2298
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,0.73,1.3789
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.866,1.5731
