query_id,query,model,versi,db,rank,sutta_id,ref,author,retrieved_text,cosine_sim,grade
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,exp1,id,1,snp4.16,snp4.16:md14,anggara,"Ke dalam kekuasaan kemarahan dan kesombongan Ia tidak boleh menyerah, melainkan kokoh, melenyapkan akar-akarnya, Ia sepenuhnya mengatasi semua yang dilekati, Ia menghalau segala yang ia sayangi.",0.3711,
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,exp1,id,2,sn11.24,sn11.24:md6,anggara,“‘Bawalah kemarahan ke bawah kendalimu; Jangan biarkan persahabatanmu rusak. Jangan menyalahkan seorang yang tidak bersalah; Jangan mengucapkan kata-kata yang bersifat memecah-belah. Bagaikan gunung salju yang longsor Kemarahan menggilas orang-orang jahat.’”,0.3681,
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,exp1,id,3,dn31,dn31:md50,anggara,"‘Ada lima cara bagi seseorang untuk melayani para petapa dan Brahmana mereka sebagai arahatas: dengan bersikap baik dalam jasmani, ucapan dan pikiran, dengan membuka pintu bagi kedatangan mereka, dengan memberikan barang-barang kebutuhan fisik mereka. Dan ada lima cara bagi para petapa dan Brahmana, yang dilayani demikian sebagai arah atas, dapat membalas: mereka akan menjauhkannya dari kejahatan, mendukungnya dalam melakukan kebaikan, berbelas kasihan kepadanya, mengajarinya apa yang belum pernah ia dengar, dan menunjukkan jalan menuju alam surga. Dengan demikian arah atas telah dicakup, memberikan kedamaian dan bebas dari ketakutan di arah itu. Demikianlah Sang Bhagavā berkata.",0.3655,
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,exp1,id,4,thag6.12,thag6.12:md5,anggara,"Jik kemarahan muncul padamu, Refleksikanlah perumpamaan gergaji; Jika ketagihan pada rasa kecapan muncul padamu, Ingatlah perumpamaan daging anak.",0.3533,
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,exp1,id,5,sn1.34,sn1.34:md6,anggara,"“Seseorang harus meninggalkan kemarahan, melepaskan keangkuhan, Melampaui semua belenggu. Tidak ada penderitaan yang menyiksa ia yang tidak memiliki apa-apa, Yang tidak melekat pada nama-dan-bentuk.",0.3528,
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,exp1,id,1,an7.61,an7.61:md11,anggara,"“Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus berbaring pada sisi kanan dalam postur singa, dengan satu kaki di atas kaki lainnya, penuh perhatian dan memahami dengan jernih, setelah mencatat dalam pikiranmu gagasan untuk terjaga. Ketika engkau terjaga, engkau harus bangkit dengan segera, [dengan berpikir]: ‘Aku tidak akan terlena pada kenikmatan beristirahat, kenikmatan bermalas-malasan, kenikmatan tidur.’ Adalah dengan cara ini, Moggallāna, engkau harus berlatih.",0.3727,
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,exp1,id,1,an7.61,an7.61:md8,anggara,"(5) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus bangkit dari dudukmu, menggosok matamu dengan air, menatap segala penjuru, dan menatap konstelasi dan bintang-bintang. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3699,
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,exp1,id,1,an7.61,an7.61:md9,anggara,"(6) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus memperhatikan persepsi cahaya; engkau harus mempersepsikan siang hari sebagai berikut: ‘Seperti halnya siang hari, demikian pula malam hari; seperti halnya malam hari, demikian pula siang hari.’ Demikianlah, dengan pikiran terbuka dan tidak tertutup, engkau harus mengembangkan pikiran yang dipenuhi dengan kecemerlangan. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3356,
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,exp1,id,1,an7.61,an7.61:md7,anggara,"(4) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus menarik kedua telingamu dan menggosok bagian-bagian tubuhmu dengan tanganmu. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3305,
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,exp1,id,1,an7.61,an7.61:md10,anggara,"(7) “Tetapi jika engkau tidak dapat meninggalkan kantukmu dengan cara demikian, maka engkau harus melakukan [olah raga] berjalan mondar-mandir, mengawasi apa yang ada di belakangmu dan apa yang ada di depanmu, dengan organ-organ indriamu tertarik ke dalam dan pikiranmu ditenangkan. Dengan cara demikian, adalah mungkin bahwa kantukmu akan ditinggalkan.",0.3189,
3,apa penyebab penderitaan,gpl-multilingual-e5-base,exp1,id,1,pv7,pv7,blurb,Kecemburuan dan kebencian hanya dapat menyebabkan penderitaan.,0.5341,
3,apa penyebab penderitaan,gpl-multilingual-e5-base,exp1,id,2,snp3.12,snp3.12:md22,anggara,"Mengetahui bahaya ini, Bahwa penderitaan disebabkan oleh aktivitas kamma, Dengan melepaskan aktivitas kamma, Seseorang terbebas dari aktivitas kamma.",0.5231,
3,apa penyebab penderitaan,gpl-multilingual-e5-base,exp1,id,2,snp3.12,snp3.12:md27,anggara,"Penderitaan apapun yang muncul di dunia, Semuanya disebabkan oleh gejolak. Dengan lenyapnya gejolak, Maka tidak ada kemunculan penderitaan.",0.5059,
3,apa penyebab penderitaan,gpl-multilingual-e5-base,exp1,id,2,snp3.12,snp3.12:md11,anggara,"Penderitaan apapun yang muncul di dunia, Semuanya disebabkan oleh kesadaran. Dengan lenyapnya ksadaran, Maka tidak ada kemunculan penderitaan.",0.4979,
3,apa penyebab penderitaan,gpl-multilingual-e5-base,exp1,id,2,snp3.12,snp3.12:md25,anggara,"Mengetahui bahaya ini, Bahwa penderitaan disebabkan oleh makanan, Dengan sepenuhnya memahami segala makanan, Seseorang tidak bergantung pada makanan apapun.",0.4977,
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,exp1,id,1,an2.32-41,an2.32-41:md8,anggara,"“Bahkan jika seseorang menggendong ibunya di satu bahunya dan ayahnya di bahu lainnya, dan selagi ia melakukan demikian ia memiliki umur kehidupan selama seratus tahun, dan hidup selama seratus tahun; dan jika ia melayani mereka dengan cara meminyaki mereka dengan balsam, dengan cara memijat mereka, memandikan mereka, dan menggosok bagian-bagian tubuh mereka, dan mereka bahkan membuang kotoran dan air kencing mereka di sana, ia masih tetap belum cukup melakukan untuk kedua orangtuanya, juga belum membalas mereka. Bahkan jika ia mengangkat orangtuanya menjadi raja tertinggi dan penguasa di seluruh penjuru bumi ini yang berlimpah dengan tujuh pusaka, ia tetap masih belum cukup melakukan untuk kedua orangtuanya, juga belum membalas mereka. Karena alasan apakah? Orangtua adalah bantuan besar bagi anak-anak mereka; mereka membesarkan anak-anak mereka, memberi mereka makan, dan menunjukkan dunia ini kepada mereka.",0.4458,
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,exp1,id,2,sn7.19,sn7.19:md3,anggara,"“Ketika seseorang dengan benar menyokong orangtuanya, Karena pelayanan ini terhadap mereka Para bijaksana memujinya di sini di dunia ini, Dan setelah kematian ia bergembira di alam surga.”",0.3742,
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,exp1,id,3,dn31,dn31:md45,anggara,"‘Ada lima cara bagi seorang putra untuk melayani ibu dan ayahnya sebagai arah timur. [Ia harus berpikir:] “Setelah disokong mereka, aku harus menyokong mereka. Aku harus melakukan tugas-tugas mereka untuk mereka. Aku harus menjaga tradisi keluarga. Aku akan layak atas warisanku. Setelah orangtuaku meninggal dunia aku akan membagikan persembahan mewakili mereka.”Dan ada lima cara oleh orangtua, yang dilayani demikian oleh putra mereka sebagai arah timur, akan membalas: mereka harus menjauhkannya dari kejahatan, mendukungnya dalam melakukan kebaikan, mengajarinya suatuketerampilan, mencarikan istri yang pantas dan, pada waktunya mewariskan warisan kepadanya. Dengan demikian arah timur telah dicakup, memberikan kedamaian dan bebas dari ketakutan di arah itu.",0.3596,
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,exp1,id,4,pli-tv-bu-vb-ss5,pli-tv-bu-vb-ss5:md5,anggara,"Dan ia memuji pemuda itu di hadapan orangtua si gadis, “Pemuda dari keluarga itu tampan, cerdas, terampil, dan rajin. Ia cocok untuk putrimu.” Mereka akan menjawab, “Mereka tidak mengenal siapa kami, Yang Mulia, dan kami akan malu untuk berbicara kepada mereka untuk anak gadis kami. Tetapi jika engkau bersedia membujuk mereka untuk meminta kepada kami, maka kami akan menyerahkan anak gadis kami kepada pemuda itu.” Dengan cara ini ia mengatur penerimaan pengantin, penyerahan pengantin, dan perkawinan.",0.3098,
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,exp1,id,5,pli-tv-bu-vb-pj1,pli-tv-bu-vb-pj1:md78,anggara,"Setelah menyelesaikan urusan dagangnya di Vesālī, Sudinna kembali ke Kalanda. Kemudian ia menghadap orangtuanya dan berkata, “Ibu dan ayah, sebagaimana yang kupahami dari ajaran Sang Buddha, adalah tidak mudah bagi seorang yang menetap di rumah untuk menjalani kehidupan spiritual yang lengkap sempurna dan murni. Aku ingin mencukur rambut dan janggutku, mengenakan jubah jingga, dan meninggalkan keduniawian menuju kehidupan tanpa rumah. Sudilah memberiku izin untuk meninggalkan keduniawian.”",0.3024,
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,exp1,id,1,mn35,mn35:md16,anggara,"“Sebuah perumpamaan muncul padaku, Guru Gotama.”",0.405,
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,exp1,id,2,sn2.5,sn2.5:md4,anggara,"“Ini adalah perumpamaan bagi brahmana, O Dāmali, Bagi yang tidak bernoda, meditator yang waspada. Setelah mencapai akhir kelahiran dan kematian, Ia tidak perlu berusaha karena ia telah menyeberanginya.”",0.3886,
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,exp1,id,3,mn23,mn23:md20,anggara,"“Palang adalah perumpamaan bagi ketidak-tahuan. ‘Buanglah palang itu: tinggalkanlah ketidak-tahuan. Galilah dengan pisau, wahai engkau yang bijaksana.’ Ini adalah maknanya.",0.3763,
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,exp1,id,1,mn35,mn35:md40,anggara,"Kemudian Dummukha, putra Licchavi, melihat Saccaka putra Nigaṇṭha dalam keadaan demikian, berkata kepada Sang Bhagavā: “Sebuah perumpamaan muncul padaku, Guru Gotama.”",0.3631,
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,exp1,id,4,mn129,mn129:md10,anggara,"Ketika hal ini dikatakan, seorang bhikkhu bertanya kepada Sang Bhagavā: “Tetapi, Yang Mulia, dapatkah suatu perumpamaan diberikan?”",0.3529,
6,apa itu kemurahan hati,gpl-multilingual-e5-base,exp1,id,1,pv26,pv26,blurb,Kemurahan hati akan mengarah pada kebahagiaan dan buah yang baik.,0.4704,
6,apa itu kemurahan hati,gpl-multilingual-e5-base,exp1,id,2,dn33,dn33:md25,anggara,‘Kejujuran dan kerendahan hati ( ajjavañ ca lajjavañ ca ).,0.4432,
6,apa itu kemurahan hati,gpl-multilingual-e5-base,exp1,id,3,an2.151-162,an2.151-162:md2,anggara,"“Para bhikkhu, ada dua jenis kemurahan hati ini. Apakah dua ini? Kemurahan hati dengan benda-benda materi dan kemurahan hati dengan Dhamma. Ini adalah kedua jenis kemurahan hati itu. Di antara kedua jenis kemurahan hati ini, kemurahan hati dengan Dhamma adalah yang terunggul.”",0.4408,
