Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp6-B)
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.9747,0.4472,0.3162,0.3078,0.8208,0.7379,0.9211,-0.2887,0.8944,0.8944,0.2236,0.3162,0.527,0.0,0.0527,0.0527,-0.866,-1.732
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,-0.2052,0.2294,0.3536,0.5774,0.1054,0.6325,0.803,0.7071,0.7071,0.7071,0.9487,0.6708,-0.7071,0.3536,0.7071,0.6669,-0.8944,-1.1831
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,-0.9177,0.6489,0.6882,-0.6882,0.4588,-0.5923,-0.2962,0.7071,-0.3536,0.0,-0.4472,-0.3536,0.7906,-0.2887,-0.3536,-0.3536,-0.8885,-0.9966
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5774,,,0.3536,-0.8944,0.2887,0.7071,0.2887,0.0,-0.5774,0.4472,0.2236,0.0,0.9487,0.4472,0.4472,0.0,0.7379,0.0,-0.5774
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,0.2962,-0.527,0.8944,0.3078,0.0,0.0,,0.5774,,0.3536,-0.3354,0.0,0.0,0.0,0.4472,0.9747,0.2108,-0.4217
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,0.5923,-0.2236,-0.2887,,,,,0.7906,1.0,1.0,0.5774,0.7071,0.9682,0.7454,0.8839,,0.0,-0.3627
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.7071,-0.2887,0.3536,-0.1118,-0.1118,-0.1118,0.4472,0.7071,,,,,0.7071,0.7071,,,0.6708,-0.2236
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.7071,0.7071,-0.7071,0.7071,0.3536,0.7071,0.7071,0.2236,0.7071,0.3536,0.3536,0.7071,0.3953,0.3953,-0.2236,1.0,0.3536,-0.1734
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.7071,,,0.7071,,0.7071,0.7071,,,0.7071,,,,,,,,,0.7071,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,0.7071,0.8944,0.2635,0.0527,-0.1581,0.1118,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.0,0.0,0.0,-0.7071,0.0
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,,,,0.3536,,,,,,-0.7071,,,,,0.0,-0.7071,,0.0,0.0
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,-0.6325,,-0.3536,0.7906,0.5923,,0.0,0.8944,-0.7906,0.3536,-1.0,-0.7906,-1.0,-0.7906,-0.7906,,0.4472,0.0783
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.1118,0.6708,-0.2236,0.7906,0.7906,0.4472,0.1118,0.8944,0.7071,0.7071,,0.3536,,0.7071,,0.3536,0.1118,0.1118
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,-0.0527,0.9747,0.3591,0.2236,0.1054,-0.1118,-0.1118,0.8944,0.4743,0.2108,0.7906,0.4104,0.2108,0.0,0.5774,0.4743,0.2635,0.2635
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.4472,-0.1581,-0.8944,0.7826,0.3536,-0.4472,-0.2236,,0.0,0.0,0.866,0.866,0.866,0.2236,0.7826,0.7826,0.6325,0.3438
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.527,0.1581,0.8208,-0.1581,0.0526,0.8721,0.7182,0.7454,0.7454,0.7454,0.2635,0.7454,0.7454,0.7454,0.7454,0.7454,0.6669,0.6669
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.5643,-0.6708,-0.2236,-0.4472,-0.6708,-0.7379,0.0,-0.3536,-0.5774,0.0,0.4472,0.4472,-0.3536,0.2236,-0.3536,-0.3536,0.4743,0.6979
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.7906,-0.1118,0.1081,0.5774,-0.2887,0.0,0.7071,0.5774,0.5774,0.866,0.9487,0.866,0.5774,0.5774,0.5774,0.5774,0.7071,0.7071
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,-0.866,-0.3536,-0.2887,0.2236,0.2236,0.7071,0.4472,-0.1054,-0.866,-0.2887,0.3536,0.0,0.2887,0.866,-0.2887,-0.2887,0.866,1.1295
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.7255,0.8885,0.866,0.7071,0.7071,0.0,-0.4472,0.2887,-0.5774,0.0,0.2962,-0.2236,0.8885,0.866,0.2887,0.2887,0.8885,1.4155
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,1.0,0.8944,0.8944,-0.6669,-0.6669,0.0,0.3536,-0.6325,0.6156,0.8208,0.5798,0.8944,-0.0513,0.1026,0.0,0.8208,0.8944,1.7604
