Korpus,Family,query_id,kueri,B,GPL,exp5.3,Δ(exp5.3-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.5322,-0.4103
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.4618,-0.2487
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.4618,-0.2476
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6401,-0.2419
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.7163,-0.2246
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.6152,-0.2181
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.5103,-0.1991
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.7549,-0.1657
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7048,-0.1285
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.5242,-0.1237
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.869,-0.0921
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9366,0.8515,0.8637,-0.0729
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7275,-0.0728
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8331,-0.0642
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.7977,-0.0614
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.7169,-0.0572
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.6957,-0.0262
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9757,-0.0243
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.9344,-0.0194
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.8778,0.7153,0.8607,-0.0171
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9152,-0.0167
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9541,-0.0163
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.8857,0.0074
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9704,0.0145
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.3036,0.0197
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.8725,0.0247
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,1.0,0.0441
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.8646,0.051
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.8611,0.0802
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8407,0.0843
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.736,0.088
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.9513,0.0926
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.4861,0.0929
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.9255,0.1091
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5378,0.6064,0.6544,0.1166
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.9515,0.1226
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4409,0.6728,0.5713,0.1304
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,1.0,0.1337
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4936,0.1384
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.6778,0.1435
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7448,0.933,0.91,0.1652
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7448,0.8737,0.91,0.1652
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9152,0.1679
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4532,0.6753,0.6364,0.1832
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.7896,0.1914
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.8279,0.2073
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.425,0.2088
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5589,0.5058,0.7727,0.2138
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.8558,0.2223
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.9781,0.2888
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.4358,0.2991
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.5739,0.3123
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.4889,0.3375
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.8542,0.5131
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.7577,0.5333
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.8614,0.6474
