Korpus,Family,query_id,kueri,B,GPL,exp5.4.3,Δ(exp5.4.3-B)
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.0,-0.4847
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5673,-0.3176
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.6179,-0.2472
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.5841,-0.2317
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.2075,-0.1873
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.7227,-0.1849
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.786,-0.1166
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.3673,-0.0786
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.5841,-0.0651
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.6097,-0.057
ID,multilingual-e5-base,14,apa makna kekosongan,0.8347,0.0,0.7833,-0.0514
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.7149,-0.0309
ID,gte-multilingual-base,14,apa makna kekosongan,0.6806,0.3917,0.6655,-0.0151
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.598,-0.0058
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.5167,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.54,0.0064
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.519,0.3913,0.5324,0.0134
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.8721,0.0309
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.9513,0.0487
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.6469,0.0487
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.8412,0.0615
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.6349,0.0624
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7817,0.0635
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8589,0.0644
