Model,Versi,Korpus,nDCG@5
gpl-multilingual-e5-base,exp4.3,ID,0.7378
multilingual-e5-base,B,ID,0.7217
gpl-gte-multilingual-base,exp4.3,ID,0.6978
gte-multilingual-base,B,ID,0.6829
gpl-gte-multilingual-base,exp4.2,ID,0.68
gpl-multilingual-e5-base,exp4.2,ID,0.6753
gpl-gte-multilingual-base,GPL,ID,0.6635
gpl-gte-multilingual-base,exp4,ID,0.6616
gpl-multilingual-e5-base,exp3,ID,0.6542
gpl-gte-multilingual-base,exp3,ID,0.6532
gpl-gte-multilingual-base,exp4.1,ID,0.6515
bge-m3,B,ID,0.6502
gpl-multilingual-e5-base,exp1,ID,0.6461
gpl-gte-multilingual-base,exp1,ID,0.643
gpl-multilingual-e5-base,exp4.1,ID,0.6302
gpl-multilingual-e5-base,exp2,ID,0.6261
gpl-multilingual-e5-base,exp4,ID,0.6124
gpl-multilingual-e5-base,GPL,ID,0.612
BM25,B,ID,0.6046
gpl-gte-multilingual-base,exp2,ID,0.5904
