=== nDCG (LLM judge) — 2026-07-16 23:26 ===
Judge: Claude Opus 4.8, Gemini 3.1 Pro

   1. @5=0.7664  gpl-gte-multilingual-base (exp5.4.3,ID)
   2. @5=0.7593  gpl-multilingual-e5-base (exp5.0,ID)
   3. @5=0.7589  gpl-multilingual-e5-base (exp5.1,ID)
   4. @5=0.7586  gpl-gte-multilingual-base (exp5.2,ID)
   5. @5=0.7560  gpl-multilingual-e5-base (exp5.2,ID)
   6. @5=0.7509  multilingual-e5-base (exp5,ID)
   7. @5=0.7495  gpl-gte-multilingual-base (exp5.3,ID)
   8. @5=0.7469  gpl-multilingual-e5-base (exp5.3,ID)
   9. @5=0.7428  gpl-gte-multilingual-base (exp5.4.2,ID)
  10. @5=0.7359  gte-multilingual-base (exp5,ID)
  11. @5=0.7349  gpl-multilingual-e5-base (exp4.3,ID)
  12. @5=0.7345  gpl-multilingual-e5-base (exp5.4,ID)
  13. @5=0.7250  gpl-gte-multilingual-base (exp5.1,ID)
  14. @5=0.7236  gpl-multilingual-e5-base (exp5.4.1,ID)
  15. @5=0.7207  gpl-gte-multilingual-base (exp5.0,ID)
  16. @5=0.7199  gpl-multilingual-e5-base (exp5.4.2,ID)
  17. @5=0.7198  gpl-multilingual-e5-base (exp5.4.3,ID)
  18. @5=0.7185  multilingual-e5-base (B,ID)
  19. @5=0.7005  gpl-gte-multilingual-base (exp5.4,ID)
  20. @5=0.6949  gpl-gte-multilingual-base (exp4.3,ID)
  21. @5=0.6893  gpl-gte-multilingual-base (exp5.4.1,ID)
  22. @5=0.6803  gte-multilingual-base (B,ID)
  23. @5=0.6774  gpl-gte-multilingual-base (exp4.2,ID)
  24. @5=0.6727  gpl-multilingual-e5-base (exp4.2,ID)
  25. @5=0.6608  gpl-gte-multilingual-base (GPL,ID)
  26. @5=0.6589  gpl-gte-multilingual-base (exp4,ID)
  27. @5=0.6518  gpl-multilingual-e5-base (exp3,ID)
  28. @5=0.6505  gpl-gte-multilingual-base (exp3,ID)
  29. @5=0.6488  gpl-gte-multilingual-base (exp4.1,ID)
  30. @5=0.6478  bge-m3 (B,ID)
  31. @5=0.6437  gpl-multilingual-e5-base (exp1,ID)
  32. @5=0.6412  gpl-gte-multilingual-base (exp1,ID)
  33. @5=0.6281  gpl-multilingual-e5-base (exp4.1,ID)
  34. @5=0.6246  gpl-multilingual-e5-base (exp2,ID)
  35. @5=0.6103  gpl-multilingual-e5-base (exp4,ID)
  36. @5=0.6103  gpl-multilingual-e5-base (GPL,ID)
  37. @5=0.6034  BM25 (B,ID)
  38. @5=0.5882  gpl-gte-multilingual-base (exp2,ID)
