Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7071,0.4617,-0.7255,-1.4326
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.9487,-1.3023
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.2887,-1.1831
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.2887,-0.866,-1.1822
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,-0.527,-1.1595
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,,-0.4472,-1.1543
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7255,0.1539,-0.2236,-0.9491
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,-0.5774,-0.9401
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1581,0.0,-0.8944
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7906,0.5774,0.0,-0.7906
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,-0.2236,-0.5863
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.2962,-0.5698
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.0,-0.2052,-0.4472,-0.4472
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,-0.6708,-0.4472
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,-0.1581,-0.4468
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.4472,-0.4188
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.866,-0.2504
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5774,,0.3536,-0.2238
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.7071,-0.1589
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,0.2887,-0.1585
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,-0.1118,-0.1118
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,-0.3536,-0.0901
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,0.2294,-0.0593
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.7071,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.3536,0.6156,0.3536,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,0.7071,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.7071,,0.7071,0.0
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,-0.7071,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.1581,0.1581
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.7071,0.1801
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6708,-0.2294,0.866,0.1952
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3536,,0.7071,0.3535
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.527,-0.1026,0.9487,0.4217
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7826,0.429
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.527,0.6325,0.4703
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.7071,0.5774,0.472
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,0.6489,0.5408
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.6708,0.6708
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.7071,0.7071
ID,multilingual-e5-base,22,cara mengikis kotoran batin,-0.2887,0.866,0.4472,0.7359
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.2108,0.7071,0.6489,0.8597
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.866,0.5774,0.9463
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,0.9747,0.9747
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,0.6325,1.3396
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,1.4142
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.8885,1.4155
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,0.8944,1.7604
