Korpus,Family,query_id,kueri,B,GPL,exp5.4.1,Δ(exp5.4.1-B)
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.866,-1.3132
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-1.0,-1.3078
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.5789,-1.286
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,-0.7071,-1.1543
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.6124,-0.9286
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.7379,0.1539,-0.7121
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.0513,0.7071,-0.7071,-0.6558
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.5643,0.4472,0.0,-0.5643
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,-0.7826,-0.429
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1026,0.7071,-0.2887,-0.3913
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,0.0,-0.3536
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.8721,0.527,-0.339
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,0.3591,-0.3078
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2294,0.2236,-0.0513,-0.2807
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7906,0.6156,0.527,-0.2636
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,0.7071,-0.1873
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1026,0.7071,-0.1873
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.2962,-0.9177,-0.4617,-0.1655
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.6882,0.3953,-0.1317
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.2236,-0.0651
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.866,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.7071,0.0
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.0,0.0
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.9487,0.0827
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5441,0.3078,0.7255,0.1814
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.3162,0.2108
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.7906,0.2236,0.2236
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.6669,0.2635,0.9487,0.2818
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.3591,0.4472,0.285
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.7906,0.3434
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.3162,-0.3536,0.6669,0.3507
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7071,0.3535
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,,-0.3536,0.3719
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9747,0.7182,0.4295
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.2236,0.4472
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.2052,,0.7071,0.5019
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.5774,0.5774
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.4472,0.6051
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.1054,0.6324
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,-0.1026,0.8721,0.6485
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.0,0.7071
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7071,0.7071
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.6669,0.6882,0.1026,0.7695
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.866,0.866
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.7826,0.5643,0.9332
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.866,1.1295
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,0.6708,1.2864
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,0.7071,1.4142
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,0.7454,1.4525
