Korpus,Family,query_id,kueri,B,GPL,exp4,Δ(exp4-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,-0.8885,-1.4659
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.7255,-1.4326
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.8944,-1.2106
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-1.0607
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.9682,-0.9682
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,-0.8944,-0.8944
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,-0.3953,-0.6821
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.2887,-0.5773
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.2887,-0.5773
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,-0.7906,-0.437
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,-0.6669,-0.3315
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,-0.3536,-0.2055
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,0.5643,-0.1612
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,-0.1581,-0.1581
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,-0.5263,-0.0675
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7071,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.4472,0.0
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,0.0
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.0527,0.0527
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.5923,0.0566
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.2887,0.0651
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,-0.2052,0.0835
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,-0.3536,0.3535
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,0.4743,0.4743
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.8721,0.4774
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.866,0.5124
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.2887,0.6423
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.2052,,0.8721,0.6669
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.6708,0.6708
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.0,0.7071
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7906,0.7906
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,0.8944,0.8944
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.8944,0.8944
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,0.4617,1.1872
