Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp5.4-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4658,0.3045,0.1328,0.5209,0.4703,0.3032,0.5889,0.3928,0.485,0.5068,0.555,0.5331,0.2001,-0.7424
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5872,0.3519,0.6246,0.2376,0.4279,0.2234,0.1129,0.5436,0.6942,0.4879,0.4656,0.6061,0.7896,0.7896,0.1573,-0.4299
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6778,0.6099,0.3924,0.6711,0.4744,0.621,0.6185,0.8335,0.618,0.6666,0.6666,0.6471,0.5245,-0.4164
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7333,0.4968,0.4481,0.564,0.5762,0.53,0.53,0.56,0.6736,0.73,0.4204,0.396,0.5388,0.6865,0.4257,-0.3076
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6556,0.3325,0.6622,0.4461,0.7202,0.5737,0.5737,0.646,0.7927,0.4893,0.6239,0.4168,0.621,0.4168,0.4168,-0.2388
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6545,0.4518,0.5341,0.5897,0.5063,0.6816,0.5986,0.5323,0.4919,0.4168,0.4168,0.4168,0.5932,0.4168,0.4168,-0.2377
ID,multilingual-e5-base,14,apa makna kekosongan,0.924,0.0,0.1997,0.1181,0.4624,0.7203,0.7203,0.7208,0.7552,0.8291,0.7203,0.7203,0.6673,0.7948,0.7124,-0.2116
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.6851,0.7896,0.8614,0.5476,0.6545,0.3392,0.7227,0.9538,0.9717,0.9717,1.0,0.9344,0.8014,-0.1524
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.4165,0.5084,0.234,0.7053,0.3971,0.4078,0.5564,0.6634,0.3946,0.5216,0.5013,0.5242,0.6957,0.5911,-0.1308
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.503,0.542,0.3024,0.6451,0.678,0.7921,0.7725,0.6947,0.6731,0.6731,0.7292,0.7048,0.7292,-0.1041
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8795,0.7914,0.7187,0.8358,0.8358,0.779,0.7978,0.8026,0.9078,0.8391,0.7796,0.8042,0.7589,-0.1002
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7811,0.6364,0.7465,0.7864,0.8673,0.621,0.7726,0.7864,0.7969,0.7658,0.6954,0.6954,0.6954,0.7658,0.6954,-0.0857
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8065,0.882,0.8295,0.8397,0.8397,0.8323,0.8519,0.8156,0.8361,0.8054,0.8184,0.7796,0.8361,-0.0845
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.6672,0.2773,0.6146,0.3495,0.4243,0.4243,0.5273,0.5346,0.5865,0.5865,0.4866,0.5242,0.572,-0.0759
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.8333,0.7576,0.7726,0.8515,0.9348,0.7811,0.7726,0.7811,0.9117,0.7658,0.7189,0.7189,0.7658,0.7684,0.7658,-0.0675
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.2379,0.5215,0.0456,0.2203,0.2379,0.2386,0.141,0.6791,0.3263,0.4347,0.4803,0.4288,0.3263,-0.0669
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9152,0.8178,0.8626,0.9313,0.9293,0.9538,0.9757,0.9078,0.9757,0.9757,0.9717,0.9757,0.9361,-0.0639
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8432,0.5586,0.7231,0.8882,0.9026,0.6918,0.752,0.9781,0.7957,0.7957,0.8375,0.8375,0.8375,-0.0598
ID,gte-multilingual-base,14,apa makna kekosongan,0.7823,0.6494,0.6494,0.2574,0.7174,0.8028,0.6961,0.8097,0.8361,0.7049,0.7203,0.7203,0.7439,0.8677,0.7327,-0.0496
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.9813,0.8318,0.5451,0.7632,0.7717,0.8333,0.7571,0.8074,0.9515,0.9515,0.8564,0.6033,0.7846,-0.0487
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.7506,0.8207,0.7081,0.7083,0.7443,0.831,0.7951,0.6003,0.7997,0.7997,0.764,0.7029,0.7513,-0.0294
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8759,0.6837,0.6597,0.5014,0.7045,0.6751,0.6978,0.6751,0.6623,0.9434,0.8212,0.8212,0.6003,0.615,0.8596,-0.0163
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.3893,0.6495,0.5774,0.4761,0.4596,0.4761,0.5795,0.6152,0.5592,0.5455,0.7784,0.6778,0.5417,0.0074
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2687,0.1797,0.2126,0.1126,0.1219,0.1339,0.1339,0.1704,0.0867,0.6723,0.2375,0.5476,0.2375,0.2872,0.2822,0.0135
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6461,0.5964,0.7798,0.3072,0.3563,0.5299,0.6857,0.7039,0.8146,0.8392,0.7435,0.857,0.7953,0.0144
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.934,0.933,0.9559,0.9366,0.9366,0.8871,0.9559,1.0,0.9704,0.9704,0.9541,1.0,0.9704,0.0145
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,0.6274,0.8699,0.6572,0.6519,0.592,0.977,0.9177,0.8289,0.8289,0.8368,0.9058,0.869,0.0212
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8783,0.8907,0.9563,0.8907,1.0,0.9781,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,0.9781,1.0,1.0,1.0,1.0,1.0,0.0219
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4409,0.6728,0.6728,0.4409,0.4409,0.4409,0.5406,0.4409,0.4409,0.4726,0.6883,0.7025,0.75,0.5529,0.4694,0.0285
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9366,0.8737,0.933,0.9881,0.9881,0.9559,0.9559,1.0,1.0,1.0,0.9541,0.9541,1.0,0.0296
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.7412,0.4421,0.8101,0.9346,0.957,0.9206,0.8874,0.9711,0.9711,0.9055,0.7809,0.9373,0.9711,0.039
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.773,0.7652,0.9076,0.9191,0.9513,0.9191,0.9781,0.9563,1.0,1.0,1.0,0.9152,1.0,0.0681
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.1091,0.4108,0.6099,0.6158,0.8304,0.9453,1.0,0.8387,1.0,0.8387,0.8185,0.9255,0.8933,0.0769
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.7689,0.8898,0.8176,0.9294,0.7819,0.952,0.952,0.8426,0.9586,0.9344,0.9586,0.893,0.9586,0.0803
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.8869,0.7652,0.9563,0.9043,0.9043,0.9043,0.9216,0.9781,1.0,1.0,1.0,1.0,0.9563,0.09
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.7158,0.7061,0.551,0.6472,0.7017,0.641,0.7416,0.6975,0.8196,0.7997,0.7285,0.7218,0.7377,0.1056
