Korpus,Family,query_id,kueri,B,GPL,exp5.0,Δ(exp5.0-B)
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,-0.8944,-1.6199
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,-0.7454,-1.1926
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.0,-0.866
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.2887,-0.5773
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.5,-0.5
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,-0.7906,-0.437
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.2887,-0.0275
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.6708,-0.0219
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,0.6325,0.0551
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.9487,0.0827
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,0.4472,0.0936
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.866,0.1589
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.5798,0.1851
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,0.6124,0.3256
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.3536,0.3536
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.2236,0.5123
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,-0.1118,0.5953
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.8885,0.6649
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.6708,0.6708
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7071,0.7071
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.8944,0.8944
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,0.8944,0.8944
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,0.7906,0.9387
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.9487,0.9487
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.6156,0.951
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.6669,1.0205
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,0.3078,1.0333
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.5643,1.2714
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,0.9487,1.4075
