Korpus,Family,query_id,kueri,B,GPL,exp5.4.2,Δ(exp5.4.2-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.1696,-0.8304
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.214,-0.786
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.2203,-0.736
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.2203,-0.6209
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8997,0.7104,0.2851,-0.6146
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.3601,-0.5834
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.5182,-0.4818
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,0.6312,-0.3688
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3604,0.0,0.0,-0.3604
ID,gte-multilingual-base,14,apa makna kekosongan,0.8688,0.8688,0.5182,-0.3506
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.5453,-0.3268
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.6023,-0.2846
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.7227,0.7227,-0.2773
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7738,0.7116,0.5365,-0.2373
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.6427,-0.1886
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.7227,-0.1642
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.8589,-0.1411
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.7075,0.6462,0.5789,-0.1286
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.7738,0.8349,0.6589,-0.1149
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.7542,-0.0982
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,0.9076,-0.0924
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,0.9125,-0.0875
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.5119,-0.0843
ID,multilingual-e5-base,30,apa itu proliferasi mental,1.0,1.0,0.9513,-0.0487
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,1.0,0.0
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.8869,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4161,0.6786,0.4161,0.0
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,1.0,0.8304,1.0,0.0
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,1.0,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,1.0,0.9125,1.0,0.0
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,16,harta yang paling bernilai,0.9513,1.0,1.0,0.0487
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,1.0,0.0487
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.0974,0.6667,0.1877,0.0903
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8539,0.9125,0.9513,0.0974
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.4704,0.4959,0.5727,0.1023
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8688,1.0,1.0,0.1312
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,0.1461
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.264,0.1509
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.5763,0.7748,0.7389,0.1626
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,1.0,0.1696
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8304,0.786,1.0,0.1696
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.8412,0.2113
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.4697,0.577,0.7479,0.2782
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5635,0.5812,0.8461,0.2826
