Korpus,Family,query_id,kueri,B,GPL,exp6,Δ(exp6-B)
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.4323,-0.5677
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.327,-0.5254
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.4966,-0.5034
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,0.5531,-0.4469
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.2025,-0.4274
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,0.5969,-0.4031
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.4852,-0.4017
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.524,-0.3629
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.6539,-0.3461
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.5087,-0.3325
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,0.6399,-0.1905
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,0.8688,-0.1312
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,0.8688,-0.1312
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.7113,-0.12
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9073,0.979,0.9073,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8688,1.0,0.8688,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1309,0.0506,0.2477,0.1168
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6608,0.7817,0.7867,0.1259
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,0.1461
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.5763,0.7748,0.7438,0.1675
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.3623,0.2492
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1539,0.4522,0.4105,0.2566
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.2979,0.7591,0.7154,0.4175
