Korpus,Family,query_id,kueri,B,GPL,exp4.1,Δ(GPL-B)
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.1118,-1.6015
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1581,0.3536,-1.0525
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,0.4588,-1.0258
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6708,-0.2294,0.0,-0.9002
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.527,-0.1026,-0.0513,-0.6296
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.2887,0.0,-0.6049
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.2236,-0.6025
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,-0.5773
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7255,0.1539,0.9487,-0.5716
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.866,-0.7379,-0.4971
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.8208,-0.4188
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.527,-0.3009
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,0.5923,-0.2571
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7071,0.4617,,-0.2454
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7906,0.5774,0.4472,-0.2132
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.0,-0.2052,-0.5643,-0.2052
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,0.0,-0.1853
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.5774,-0.175
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,0.4472,-0.0936
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,,0.0
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7906,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.0526,0.0513
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,0.1054,0.0513
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.3536,0.0649
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,-1.0,0.0827
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.1081,0.1873
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.3536,0.1985
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,,0.2599
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.3536,0.6156,0.0,0.262
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.0,0.3536
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.527,0.9487,0.3648
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,,0.3752
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2895,0.7071,0.5774,0.4176
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7906,0.4472
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,-0.6708,0.5314
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.7071,-0.2887,0.6017
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,0.1054,0.66
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.0,0.7071,0.866,0.7071
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.2108,0.7071,-0.3536,0.9179
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,-0.2887,0.9487
ID,multilingual-e5-base,22,cara mengikis kotoran batin,-0.2887,0.866,0.866,1.1547
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.7071,1.2525
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.0527,1.4142
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,0.7071,-0.7379,1.4326
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,-0.6669,1.5542
