Korpus,Family,query_id,kueri,B,GPL,exp4.2,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.9275,-0.9111
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.354,-0.5309
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.9563,-0.4632
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.3253,-0.3733
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6087,0.2536,0.6295,-0.3551
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3345,0.0,0.732,-0.3345
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.2491,-0.3158
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.7365,-0.3153
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.3392,-0.3127
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.7719,-0.2994
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.4528,-0.2909
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.4307,-0.257
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.9125,-0.2252
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.7591,-0.2232
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4545,0.2319,0.0,-0.2226
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.7665,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.5517,-0.1885
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9026,-0.1848
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.2746,-0.1783
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.8383,-0.1682
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.5157,-0.1538
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.302,-0.1362
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7665,-0.1312
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9076,-0.1279
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.8087,-0.0899
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,0.8154,-0.0894
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.9563,-0.0875
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.8809,-0.0862
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.6232,-0.0768
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.9435,-0.0338
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,0.912,-0.0237
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9073,-0.0178
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.6458,0.0246
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.6229,0.0409
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.3899,0.0516
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.3673,0.06
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.5353,0.6026,0.3352,0.0673
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.6462,0.7171,0.632,0.0709
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.7201,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.5516,0.1003
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.7252,0.1081
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.7302,0.1236
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.6667,0.1637
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.4275,0.1729
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.5095,0.1774
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.8714,0.191
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.1939
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4208,0.6667,0.7252,0.2459
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.3028,0.2499
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.5269,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.786,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.6312,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4208,0.7797,0.7521,0.3589
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
