Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9484,0.0,0.205,0.1213,0.45,0.7393,0.7393,0.7398,0.7505,-0.9484
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.1091,0.4011,0.6099,0.6158,0.8304,0.9453,1.0,-0.5903
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2666,0.2299,0.2631,0.2884,0.5785,0.3234,0.659,-0.5646
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4658,0.3045,0.1243,0.5209,0.4455,0.29,0.5633,-0.5603
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.503,0.542,0.3024,0.6451,0.678,0.7921,0.7725,-0.3798
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6556,0.3325,0.6622,0.4461,0.7202,0.5665,0.5665,0.646,0.7927,-0.3231
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.4165,0.5084,0.234,0.7053,0.3937,0.4049,0.5496,0.6566,-0.3054
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.6851,0.7896,0.8614,0.5287,0.6356,0.3392,0.7227,-0.295
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6022,0.3609,0.6405,0.2352,0.4518,0.2291,0.1158,0.5575,0.7164,-0.2413
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7333,0.4968,0.4481,0.564,0.5762,0.53,0.53,0.56,0.6736,-0.2365
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.0428,0.0339,0.749,0.5296,-0.214
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6545,0.4518,0.5341,0.5897,0.5063,0.6669,0.5936,0.5323,0.4919,-0.2027
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6643,0.5049,0.7093,0.6798,0.7026,0.6798,0.6669,-0.1935
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6778,0.6099,0.3828,0.6711,0.431,0.6017,0.6064,-0.1829
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.7708,0.7652,0.9076,0.9169,0.9485,0.9191,0.9781,-0.1689
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.2379,0.4951,0.0456,0.2203,0.2379,0.2386,0.141,-0.1598
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7998,0.6517,0.7645,0.8053,0.8881,0.6359,0.7912,0.8053,0.816,-0.1481
ID,gte-multilingual-base,14,apa makna kekosongan,0.8029,0.6666,0.6666,0.2642,0.7208,0.7994,0.6899,0.8065,0.8658,-0.1363
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8065,0.8923,0.836,0.8397,0.8397,0.848,0.8735,-0.136
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7776,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,-0.103
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2755,0.1843,0.1925,0.123,0.1296,0.1373,0.1373,0.1751,0.1008,-0.0912
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8783,0.8907,0.9563,0.8907,1.0,0.9781,0.9781,-0.0874
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.2877,0.3943,0.3883,0.3331,0.2986,0.4095,0.4006,-0.0874
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.8533,0.7758,0.7912,0.8719,0.9572,0.7998,0.7912,0.7998,0.9336,-0.0775
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.1921,0.2101,0.2101,0.0936,0.0778,0.3054,0.1927,-0.0759
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.7412,0.4421,0.8101,0.9346,0.957,0.9206,0.8874,-0.0753
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.3893,0.6495,0.5774,0.4761,0.4596,0.4761,0.5795,-0.0641
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9152,0.8178,0.8626,0.9313,0.9293,0.9538,0.9757,-0.0639
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8083,0.7456,0.6932,0.6805,0.7688,0.5794,0.5436,0.7736,0.9586,-0.0627
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.5592,0.2938,0.5118,0.4415,0.4497,0.3876,0.4215,-0.0543
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,0.6336,0.8699,0.6572,0.6519,0.5982,0.9808,-0.0527
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.934,0.933,0.9559,0.9366,0.9366,0.8871,0.9559,-0.0448
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9366,0.8737,0.933,0.9881,0.9881,0.9559,0.9559,-0.0119
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.9881,0.8406,0.5392,0.7632,0.7717,0.8333,0.7524,-0.0029
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8432,0.5586,0.7273,0.8882,0.9026,0.7038,0.752,0.0053
