Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp4.1-B)
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-0.8944,0.0,-0.7071,-0.7071,-0.7071,,0.0,0.4472,-0.2887,-0.2887,0.0,0.2887,-1.0607
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.5774,-0.4104,-0.2887,-0.6325,-0.7071,-0.3162,0.0,-0.5643,0.2887,0.0,0.3536,0.3536,-0.9177,-1.0233
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.2887,-0.25,-0.7826,-0.9682,-0.8885,-0.6124,,0.7379,-0.5,,-0.6124,-0.9682,-0.7906,-0.8885
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.2887,0.2962,0.3536,-0.8944,-0.5774,0.8885,0.2236,-0.1118,0.8944,0.866,0.5774,0.5774,0.5774,-0.5774
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,-0.4472,0.0,,0.2294,-0.7255,-0.2236,-0.1539,,,,0.0,-0.3627,-0.4777
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.6882,,0.7071,-0.866,-0.7071,,,0.0,-0.7906,-0.2887,0.7071,0.5774,-0.7826,-0.3535
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,1.0,0.7071,0.8944,-0.6669,-0.6669,0.0,0.3536,-0.6669,0.6156,0.6708,0.527,0.6669,0.0,-0.3315
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.2052,,,,0.0,0.8721,0.0,,,,,0.7071,0.7071,0.7071,,-0.2052
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,0.2887,0.7255,-0.3627,0.5643,0.6325,0.2887,,-0.3536,-0.8944,-0.3536,-0.9487,-0.3536,-0.3536,-0.093
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.527,0.7906,-0.2635,-0.2052,-0.3591,-0.1026,0.3536,0.1581,0.2236,0.2236,0.2236,,0.2236,-0.0704
