Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp6-B)
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8432,0.5586,0.7273,0.8882,0.9026,0.7038,0.752,0.9781,0.7955,0.7955,0.8445,0.8445,0.8445,0.8384,0.8445,0.8445,0.4253,-0.472
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9366,0.8737,0.933,0.9881,0.9881,0.9559,0.9559,1.0,1.0,1.0,0.9633,0.9633,1.0,1.0,0.9633,0.9633,0.5207,-0.4497
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6778,0.6099,0.3828,0.6711,0.431,0.6017,0.6064,0.8214,0.618,0.6666,0.6666,0.6351,0.3556,0.3556,0.3771,0.6732,0.5103,-0.4306
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.7555,0.8223,0.71,0.7147,0.7492,0.831,0.8,0.6003,0.7997,0.7997,0.7656,0.7043,0.7513,0.8646,0.8306,0.8306,0.3641,-0.4166
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7333,0.4968,0.4481,0.564,0.5762,0.53,0.53,0.56,0.6736,0.73,0.4204,0.396,0.5388,0.6812,0.4257,0.4257,0.73,0.8862,0.3942,-0.3391
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.8138,0.5585,0.6372,0.7013,0.5974,0.6582,0.8795,0.7529,0.7801,0.8577,0.7612,0.7407,0.7407,0.8139,0.7407,0.2729,-0.3253
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4658,0.3045,0.1243,0.5209,0.4455,0.29,0.5633,0.3928,0.485,0.5068,0.5465,0.5246,0.125,0.2848,0.238,0.5297,0.6256,-0.3169
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8795,0.7958,0.7252,0.8358,0.8358,0.779,0.7978,0.8026,0.9078,0.8618,0.7965,0.8093,0.7589,0.7589,0.8531,0.8531,0.5573,-0.3018
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.1091,0.4011,0.6099,0.6158,0.8304,0.9453,1.0,0.8387,1.0,0.8387,0.8043,0.9255,0.8666,0.8666,0.882,0.7942,0.5428,-0.2736
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.0428,0.0339,0.749,0.5296,0.4314,0.0,0.0,0.9854,0.8922,0.4385,0.0678,0.8907,0.7714,0.0,-0.214
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7776,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,0.8913,0.9235,0.9235,1.0,0.9569,1.0,0.8907,1.0,0.9569,0.6756,-0.1831
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688,-0.1093
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6545,0.4518,0.5341,0.5897,0.5063,0.6669,0.5936,0.5323,0.4919,0.3865,0.3865,0.3865,0.5932,0.3865,0.3865,0.3865,0.3865,0.3865,0.58,-0.0745
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.8333,0.7576,0.7726,0.8515,0.9348,0.7811,0.7726,0.7811,0.9117,0.7658,0.7189,0.7189,0.7658,0.7684,0.7658,0.6954,0.7658,0.8127,0.7603,-0.073
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.8848,0.7652,0.9563,0.9043,0.9043,0.9043,0.9216,0.9781,0.9978,0.9978,1.0,1.0,0.9672,0.9672,1.0,1.0,0.8123,-0.054
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9152,0.8178,0.8626,0.9313,0.9293,0.9538,0.9757,0.9078,0.9757,0.9757,0.9717,0.9757,0.9361,0.94,1.0,1.0,0.9643,-0.0357
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.7412,0.4421,0.8101,0.9346,0.957,0.9206,0.8874,0.9711,0.9711,0.9055,0.7809,0.9373,0.9711,0.9711,0.9711,0.9711,0.9106,-0.0215
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.6589,0.2773,0.6221,0.3337,0.4062,0.4062,0.5114,0.5262,0.5707,0.5707,0.4984,0.5147,0.5755,0.5707,0.5755,0.4302,0.6594,0.0115
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0219
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.3597,0.283,0.382,0.6109,0.5772,0.5419,0.7143,0.6957,0.3514,0.3634,0.367,0.3435,0.4709,0.367,0.6557,0.922,0.2692,0.1325
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2687,0.1797,0.1877,0.1199,0.1264,0.1339,0.1339,0.1708,0.0982,0.6723,0.225,0.5365,0.225,0.2872,0.2697,0.2086,0.2086,0.1624,0.411,0.1423
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.8899,0.8992,0.8108,0.8825,0.8761,0.8651,0.8902,0.7797,0.8759,0.8884,0.8884,0.8884,0.8884,0.8884,0.8884,0.8884,0.8552,0.1448
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6627,0.2811,0.5987,0.734,0.6213,0.3822,0.7522,0.8513,0.8558,0.8558,0.8329,0.871,0.8513,0.8513,0.8732,0.885,0.7921,0.1586
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4399,0.6555,0.4965,0.602,0.5712,0.5242,0.5795,0.4367,0.5087,0.593,0.6869,0.6789,0.7987,0.6326,0.6789,0.7439,0.6869,0.7516,0.6555,0.2156
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,1.0,0.9435,0.9918,1.0,0.9343,0.9343,0.9435,1.0,0.9805,0.9316,0.9329,0.9207,0.9207,0.9249,0.914,0.9805,0.2332
