=== nDCG (LLM judge) — 2026-07-18 22:27 ===
Judge: Claude Opus 4.8, Gemini 3.1 Pro

   1. @5=0.7665  gpl-gte-multilingual-base (exp5.4.3,ID)
   2. @5=0.7594  gpl-multilingual-e5-base (exp5.0,ID)
   3. @5=0.7583  gpl-gte-multilingual-base (exp5.2,ID)
   4. @5=0.7582  gpl-multilingual-e5-base (exp5.1,ID)
   5. @5=0.7561  gpl-multilingual-e5-base (exp5.2,ID)
   6. @5=0.7509  multilingual-e5-base (exp5,ID)
   7. @5=0.7495  gpl-gte-multilingual-base (exp5.3,ID)
   8. @5=0.7469  gpl-multilingual-e5-base (exp5.3,ID)
   9. @5=0.7427  gpl-gte-multilingual-base (exp5.4.2,ID)
  10. @5=0.7359  gte-multilingual-base (exp5,ID)
  11. @5=0.7349  gpl-multilingual-e5-base (exp5.4,ID)
  12. @5=0.7349  gpl-multilingual-e5-base (exp4.3,ID)
  13. @5=0.7248  gpl-gte-multilingual-base (exp5.1,ID)
  14. @5=0.7238  gpl-multilingual-e5-base (exp5.4.1,ID)
  15. @5=0.7208  gpl-gte-multilingual-base (exp5.0,ID)
  16. @5=0.7200  gpl-multilingual-e5-base (exp5.4.2,ID)
  17. @5=0.7198  gpl-multilingual-e5-base (exp5.4.3,ID)
  18. @5=0.7185  multilingual-e5-base (B,ID)
  19. @5=0.7004  gpl-gte-multilingual-base (exp5.4,ID)
  20. @5=0.6950  gpl-gte-multilingual-base (exp4.3,ID)
  21. @5=0.6892  gpl-gte-multilingual-base (exp5.4.1,ID)
  22. @5=0.6803  gte-multilingual-base (B,ID)
  23. @5=0.6775  gpl-gte-multilingual-base (exp4.2,ID)
  24. @5=0.6726  gpl-multilingual-e5-base (exp4.2,ID)
  25. @5=0.6608  gpl-gte-multilingual-base (GPL,ID)
  26. @5=0.6589  gpl-gte-multilingual-base (exp4,ID)
  27. @5=0.6517  gpl-multilingual-e5-base (exp3,ID)
  28. @5=0.6505  gpl-gte-multilingual-base (exp3,ID)
  29. @5=0.6489  gpl-gte-multilingual-base (exp4.1,ID)
  30. @5=0.6478  bge-m3 (B,ID)
  31. @5=0.6437  gpl-multilingual-e5-base (exp1,ID)
  32. @5=0.6405  gpl-gte-multilingual-base (exp1,ID)
  33. @5=0.6278  gpl-multilingual-e5-base (exp4.1,ID)
  34. @5=0.6246  gpl-multilingual-e5-base (exp2,ID)
  35. @5=0.6117  gpl-gte-multilingual-base (exp6,ID)
  36. @5=0.6103  gpl-multilingual-e5-base (GPL,ID)
  37. @5=0.6100  gpl-multilingual-e5-base (exp4,ID)
  38. @5=0.6034  BM25 (B,ID)
  39. @5=0.5882  gpl-gte-multilingual-base (exp2,ID)
