Korpus,Family,query_id,kueri,B,GPL,exp4,Δ(exp4-B)
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.387,-0.5206
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.4275,-0.4836
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5087,-0.3762
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1641,-0.3695
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.1328,-0.3519
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.3229,-0.3263
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.5517,-0.2641
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.6534,-0.2335
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.2178,-0.1977
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.3593,-0.1942
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5335,0.14,0.3587,-0.1748
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.6795,-0.1617
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.4275,-0.145
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.7739,-0.1287
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.4307,-0.1159
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.7128,-0.1144
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8869,-0.1131
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9026,-0.0974
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.6499,-0.0959
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.8688,-0.0875
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.6018,-0.0875
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.5157,-0.0825
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.3673,-0.0786
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.6529,-0.0732
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.8087,-0.0551
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.5498,-0.054
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.6716,-0.0466
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9073,0.8132,0.8668,-0.0405
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.8383,-0.0255
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.2568,-0.0233
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.7201,-0.0227
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.5516,-0.0148
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.7649,-0.0148
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.9563,0.0
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.6667,0.0
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.7391,0.0026
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9128,0.0055
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.4047,0.0099
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.9751,0.0374
