Model,Versi,Korpus,nDCG@5
gpl-multilingual-e5-base,exp5.0,ID,0.7793
gpl-multilingual-e5-base,exp5.2,ID,0.7536
gpl-multilingual-e5-base,exp5.1,ID,0.7534
gpl-gte-multilingual-base,exp5.4.3,ID,0.7503
gte-multilingual-base,exp5,ID,0.7478
gpl-multilingual-e5-base,exp5.3,ID,0.7439
gpl-gte-multilingual-base,exp5.2,ID,0.7346
gpl-gte-multilingual-base,exp5.3,ID,0.7338
multilingual-e5-base,exp5,ID,0.7275
gpl-gte-multilingual-base,exp5.4.2,ID,0.7266
gpl-multilingual-e5-base,exp5.4.3,ID,0.72
gpl-multilingual-e5-base,exp5.4,ID,0.72
gpl-multilingual-e5-base,exp5.4.2,ID,0.7139
gpl-multilingual-e5-base,exp4.3,ID,0.7071
gpl-gte-multilingual-base,exp5.1,ID,0.6958
gpl-gte-multilingual-base,exp5.0,ID,0.6918
gpl-gte-multilingual-base,exp5.4,ID,0.6882
gpl-multilingual-e5-base,exp5.4.1,ID,0.6859
gpl-multilingual-e5-base,exp4.2,ID,0.6666
gpl-gte-multilingual-base,exp4.3,ID,0.6587
multilingual-e5-base,B,ID,0.6525
gpl-gte-multilingual-base,exp5.4.1,ID,0.6496
gpl-gte-multilingual-base,exp4.2,ID,0.6456
gpl-gte-multilingual-base,exp3,ID,0.6358
gpl-multilingual-e5-base,exp2,ID,0.6347
gte-multilingual-base,B,ID,0.6308
gpl-gte-multilingual-base,exp4.1,ID,0.6271
gpl-multilingual-e5-base,exp1,ID,0.6259
gpl-multilingual-e5-base,exp3,ID,0.6258
gpl-gte-multilingual-base,exp4,ID,0.6257
gpl-gte-multilingual-base,GPL,ID,0.6215
gpl-gte-multilingual-base,exp1,ID,0.613
bge-m3,B,ID,0.6116
gpl-multilingual-e5-base,exp4.1,ID,0.6115
gpl-multilingual-e5-base,exp4,ID,0.5991
gpl-gte-multilingual-base,exp2,ID,0.5971
gpl-multilingual-e5-base,GPL,ID,0.5836
BM25,B,ID,0.4946
