Model,Versi,Korpus,Spearman,Spearman (tanpa heading)
gpl-gte-multilingual-base,exp4.1,ID,0.5727,0.5727
gpl-gte-multilingual-base,exp4,ID,0.5616,0.5616
gpl-gte-multilingual-base,exp2,ID,0.4825,0.4825
gpl-multilingual-e5-base,exp3,ID,0.4612,0.4612
gpl-gte-multilingual-base,exp4.3,ID,0.4529,0.4529
gpl-gte-multilingual-base,exp1,ID,0.4515,0.4515
gpl-gte-multilingual-base,GPL,ID,0.4499,0.4499
gpl-multilingual-e5-base,exp2,ID,0.4447,0.4447
gpl-gte-multilingual-base,exp3,ID,0.4302,0.4302
gpl-gte-multilingual-base,exp4.2,ID,0.4179,0.4179
BM25,B,ID,0.4161,0.4161
gte-multilingual-base,B,ID,0.3989,0.3989
gpl-multilingual-e5-base,exp4.1,ID,0.3875,0.3875
gpl-multilingual-e5-base,GPL,ID,0.3847,0.3847
gpl-multilingual-e5-base,exp4.2,ID,0.3721,0.3721
multilingual-e5-base,B,ID,0.3573,0.3573
gpl-multilingual-e5-base,exp1,ID,0.3568,0.3568
gpl-multilingual-e5-base,exp4.3,ID,0.3364,0.3364
gpl-multilingual-e5-base,exp4,ID,0.3307,0.3307
bge-m3,B,ID,0.0986,0.0986
