Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-1.0607
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.0,-0.866
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.2887,-0.6049
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,0.1581,-0.5674
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,-0.3536,-0.3536
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,0.2294,-0.348
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,-0.2887,-0.2887
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,-0.2887,-0.2887
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.8885,-0.2396
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.0,-0.2236
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,-0.5643,-0.2107
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.5774,-0.1297
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.7071,,0.7071,0.0
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,0.0
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.0,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.866,0.0
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,-0.7071,0.0184
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,0.0383
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.6708,0.2236
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,0.3536,0.3536
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.8721,0.4774
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.866,0.5124
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,0.8721,0.5853
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,0.7071
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.866,0.866
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.8721,0.8721
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.7071,0.9958
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.7255,1.0791
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.7906,1.126
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.5923,1.2994
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,0.8721,1.3309
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.6325,1.3396
