Korpus,Family,query_id,kueri,B,GPL,exp5.4,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.7738,-0.9611
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.8933,-0.5903
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.9255,-0.5646
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.2839,-0.5603
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7292,-0.3798
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.6064,-0.3724
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.4618,-0.3502
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.851,-0.295
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.4494,-0.2496
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.1663,-0.2487
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.4618,-0.2198
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.4953,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.8656,-0.1935
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.7056,-0.1829
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9781,-0.1689
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9044,0.7369,0.8052,-0.1675
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.3494,-0.1598
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.8044,-0.1381
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8115,-0.136
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,1.0,-0.103
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.3009,-0.094
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9649,0.8772,0.8867,-0.0877
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,-0.0874
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.4633,-0.0874
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9959,-0.0772
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.5021,-0.0759
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.9474,-0.0643
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.5417,-0.0641
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9361,-0.0639
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5589,0.5058,0.8435,-0.0531
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.8199,-0.0527
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9704,-0.0448
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,1.0,-0.0119
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.7766,-0.0029
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8331,0.0053
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.7652,0.0062
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.9513,0.0124
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.7589,0.0204
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.9563,0.0206
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7983,0.0402
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.572,0.0423
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.8199,0.044
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.7609,0.0707
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.7692,0.0928
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.8035,0.1001
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.5993,0.1057
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7448,0.8737,0.9075,0.1289
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.5958,0.1672
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.3587,0.1673
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7448,0.933,0.91,0.1882
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8626,0.1999
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4532,0.6753,0.7455,0.2221
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.8909,0.2308
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4831,0.2387
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.6649,0.3008
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.7968,0.3387
