Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,Δ(exp5.3-B)
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,-0.6325,,-0.3536,0.7906,0.5923,,0.0,0.8944,-0.7906,0.3536,-1.0,-0.7906,-1.0,-0.7906,-0.7906,,-1.1595
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,,,-0.7071,,,-0.7071,-0.7255,-0.7071,,,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,-1.1543
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1581,0.2887,0.0,0.8944,0.2236,0.3536,0.2236,0.7071,0.7071,,,,0.0,,0.7071,,0.0,-0.8944
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3162,-0.9487,0.4588,-0.3162,-0.527,-0.6708,-0.2887,-0.2887,0.2887,-0.3536,-0.3536,-0.2887,0.0,0.0,-0.3536,-0.3536,-0.6423
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,0.2962,-0.527,0.8944,0.3078,0.0,0.0,,0.5774,,0.3536,-0.3354,0.0,0.0,0.0,0.4472,0.9747,-0.6325
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.7071,0.7071,0.5774,-0.3162,0.3536,-0.2887,0.0,,0.6708,-0.2887,-0.2887,0.6708,-0.4472,0.0,0.0,0.0,-0.7379,-0.5526
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.9747,0.4472,0.3162,0.3078,0.8208,0.7379,0.9211,-0.2887,0.8944,0.8944,0.2236,0.3162,0.527,0.0,0.0527,0.0527,-0.5498
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.2108,0.7071,0.7071,0.6489,-0.866,-0.3536,-0.3536,-0.866,-0.866,-0.7071,-0.7071,-0.7071,-0.2236,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,-0.4963
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,-0.9177,0.6489,0.6882,-0.6882,0.4588,-0.5923,-0.2962,0.7071,-0.3536,0.0,-0.4472,-0.3536,0.7906,-0.2887,-0.3536,-0.3536,-0.4617
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6708,-0.2294,0.0,0.866,-0.527,-0.9177,0.0,-0.9177,0.2294,-0.2887,0.3536,0.3536,-0.866,0.2236,0.4472,0.0,-0.9487,-0.5774,-0.4472
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3536,,,0.7071,-0.7071,-0.5774,-0.7071,0.7255,,0.0,-0.5774,,-0.5774,0.0,-0.7071,,,,-0.3536
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,,,-0.4472,0.2236,0.2962,0.2962,0.8885,,0.0527,,,-0.7454,0.3536,0.5923,0.5923,0.0,0.0,-0.3535
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7071,0.4617,0.5774,-0.7255,-0.2236,,,,-0.3536,0.2887,0.5798,0.5798,0.2887,0.3689,0.7071,0.866,0.7071,0.2887,-0.3382
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.527,-0.1026,0.1539,0.9487,0.9733,-0.1539,-0.0513,0.0513,0.0526,0.7071,0.5789,0.5789,0.7071,0.2052,0.7826,0.7826,0.7826,0.7826,-0.3218
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.6325,0.2962,0.8944,0.25,-1.0,,0.7746,0.866,0.0,0.0,,0.7071,0.9682,0.9487,0.9487,0.7746,-0.1589
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,0.7071,0.7071,0.2887,0.0,-0.2887,0.0,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,-0.1589
