Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,Δ(exp4.3-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.2,0.4,0.2,0.0,0.4,0.2,0.2,0.4,-0.6
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.8,0.6,0.4,0.2,0.6,0.2,0.4,0.4,-0.6
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8,0.4,0.4,0.2,0.6,0.4,0.4,0.4,0.2,-0.6
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,0.4,0.2,0.2,1.0,1.0,0.6,0.4,-0.6
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.6,0.6,0.6,0.6,0.2,0.4,0.2,0.6,-0.4
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.4,0.2,0.2,0.4,0.4,0.2,0.4,0.2,0.0,-0.4
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8,0.6,0.6,0.2,0.6,0.2,0.2,0.2,0.4,-0.4
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.8,-0.2
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,-0.2
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.6,-0.2
ID,multilingual-e5-base,1,cara mengatasi kemarahan,1.0,0.2,0.4,0.6,0.4,0.4,0.4,0.8,0.8,-0.2
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.6,0.0,0.2,0.0,0.2,0.2,0.4,0.2,0.4,-0.2
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.8,0.8,-0.2
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,-0.2
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.8,0.6,0.4,0.2,0.4,0.8,0.8,0.4,0.6,-0.2
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,-0.2
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.6,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,-0.2
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8,1.0,0.8,0.6,0.6,0.6,1.0,0.8,-0.2
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.0,0.2,0.0,0.8,0.2,0.2,0.4,0.8,-0.2
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,14,apa makna kekosongan,0.8,0.8,0.8,0.2,0.4,0.8,0.6,0.8,0.8,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,10,kriteria kesucian,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6,1.0,1.0,1.0,0.4,0.4,0.6,1.0,0.6,0.0
