query_id,kueri,Model,Versi,Korpus,nDCG@5
1,cara mengatasi kemarahan,BM25,B,ID,0.4808
2,cara mengatasi ngantuk,BM25,B,ID,0.0
3,apa penyebab penderitaan,BM25,B,ID,0.8087
4,mengapa harus membalas budi orangtua,BM25,B,ID,0.0681
5,perumpamaan perumpamaan,BM25,B,ID,0.9142
6,apa itu kemurahan hati,BM25,B,ID,0.8437
7,penjelasan tentang perhatian murni,BM25,B,ID,0.0
8,manfaat pelaksaan sila,BM25,B,ID,0.7699
9,jenis jenis kotoran batin,BM25,B,ID,0.0
10,kriteria kesucian,BM25,B,ID,0.9527
11,siapa yang layak disebut sebagai brahmana,BM25,B,ID,1.0
12,kewajiban seorang bhikkhu,BM25,B,ID,0.3524
13,berbagai jenis pemberian,BM25,B,ID,0.7926
14,apa makna kekosongan,BM25,B,ID,0.1527
15,apa kualitas yang harus dimiliki oleh seorang penceramah,BM25,B,ID,0.7765
16,harta yang paling bernilai,BM25,B,ID,0.8769
17,kewajiban seorang umat awam,BM25,B,ID,0.8768
18,penyebab gempa bumi,BM25,B,ID,0.8835
19,jenis jenis kemelekatan,BM25,B,ID,0.928
20,penggambaran terhadap keagungan buddha,BM25,B,ID,0.5166
21,jenis jenis manusia,BM25,B,ID,0.3018
22,cara mengikis kotoran batin,BM25,B,ID,0.2981
23,penjelasan tentang pandangan terang,BM25,B,ID,0.6556
24,apa yang terjadi pada saat pencapaian pencerahan,BM25,B,ID,0.699
25,perasaan malu dan takut,BM25,B,ID,0.7267
26,bersatu di kehidupan selanjutnya,BM25,B,ID,0.732
27,jenis jenis karma buruk,BM25,B,ID,0.7409
28,berbagai jenis perbuatan baik,BM25,B,ID,0.6625
29,jenis orang yang tak boleh ditahbiskan,BM25,B,ID,0.6517
30,apa itu proliferasi mental,BM25,B,ID,0.9585
1,cara mengatasi kemarahan,bge-m3,B,ID,0.6521
2,cara mengatasi ngantuk,bge-m3,B,ID,0.7227
3,apa penyebab penderitaan,bge-m3,B,ID,0.7545
