Korpus,Family,query_id,kueri,B,GPL,exp4,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,1.0,-1.0
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.1461,-0.8721
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.6893,-0.7423
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.6061,-0.7173
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.5087,-0.5895
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.5545,-0.4603
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.4724,-0.4464
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3604,0.0,0.0,-0.3604
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.7867,-0.3325
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.7227,0.387,-0.2773
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8997,0.7104,0.7591,-0.1893
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,0.8948,-0.1696
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,1.0,0.8304,1.0,-0.1696
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.6608,-0.1653
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.1362,-0.138
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,1.0,-0.1312
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.7006,-0.1072
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.7261,-0.0974
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.9125,-0.0974
ID,multilingual-e5-base,19,jenis jenis kemelekatan,1.0,0.9125,0.9125,-0.0875
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.7157,-0.0828
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1309,0.0506,0.4752,-0.0803
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,0.6534,-0.0747
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9073,0.8344,0.6291,-0.0729
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.7075,0.6462,0.6277,-0.0613
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.2133,-0.0566
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,1.0,-0.0487
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8304,0.786,0.5191,-0.0444
ID,gte-multilingual-base,14,apa makna kekosongan,0.8688,0.8688,0.8869,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,30,apa itu proliferasi mental,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,10,kriteria kesucian,0.1461,0.1461,0.3836,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,0.9563,0.0
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5892,0.6078,0.5146,0.0186
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.4704,0.4959,0.4365,0.0255
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.2409,0.026
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.149,0.028
ID,multilingual-e5-base,16,harta yang paling bernilai,0.9513,1.0,1.0,0.0487
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8539,0.9125,0.9076,0.0586
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9073,0.979,0.9073,0.0717
