query_id,kueri,Model,Versi,Korpus,nDCG@5
1,cara mengatasi kemarahan,BM25,B,ID,0.6023
2,cara mengatasi ngantuk,BM25,B,ID,0.0
3,apa penyebab penderitaan,BM25,B,ID,0.6308
4,mengapa harus membalas budi orangtua,BM25,B,ID,0.0924
5,perumpamaan perumpamaan,BM25,B,ID,0.8284
6,apa itu kemurahan hati,BM25,B,ID,0.6904
7,penjelasan tentang perhatian murni,BM25,B,ID,0.0
8,manfaat pelaksaan sila,BM25,B,ID,0.7699
9,jenis jenis kotoran batin,BM25,B,ID,0.0
10,kriteria kesucian,BM25,B,ID,0.8895
11,siapa yang layak disebut sebagai brahmana,BM25,B,ID,1.0
12,kewajiban seorang bhikkhu,BM25,B,ID,0.3265
13,berbagai jenis pemberian,BM25,B,ID,0.7227
14,apa makna kekosongan,BM25,B,ID,0.1246
15,apa kualitas yang harus dimiliki oleh seorang penceramah,BM25,B,ID,0.4899
16,harta yang paling bernilai,BM25,B,ID,0.7975
17,kewajiban seorang umat awam,BM25,B,ID,0.732
18,penyebab gempa bumi,BM25,B,ID,0.7669
19,jenis jenis kemelekatan,BM25,B,ID,0.856
20,penggambaran terhadap keagungan buddha,BM25,B,ID,0.1617
21,jenis jenis manusia,BM25,B,ID,0.1568
22,cara mengikis kotoran batin,BM25,B,ID,0.0
23,penjelasan tentang pandangan terang,BM25,B,ID,0.4691
24,apa yang terjadi pada saat pencapaian pencerahan,BM25,B,ID,0.3673
25,perasaan malu dan takut,BM25,B,ID,0.4534
26,bersatu di kehidupan selanjutnya,BM25,B,ID,0.3403
27,jenis jenis karma buruk,BM25,B,ID,0.616
28,berbagai jenis perbuatan baik,BM25,B,ID,0.6406
29,jenis orang yang tak boleh ditahbiskan,BM25,B,ID,0.4469
30,apa itu proliferasi mental,BM25,B,ID,0.8663
1,cara mengatasi kemarahan,bge-m3,B,ID,0.7443
2,cara mengatasi ngantuk,bge-m3,B,ID,0.7227
3,apa penyebab penderitaan,bge-m3,B,ID,0.476
4,mengapa harus membalas budi orangtua,bge-m3,B,ID,0.7739
6,apa itu kemurahan hati,bge-m3,B,ID,0.8878
7,penjelasan tentang perhatian murni,bge-m3,B,ID,0.856
8,manfaat pelaksaan sila,bge-m3,B,ID,0.5531
9,jenis jenis kotoran batin,bge-m3,B,ID,0.0
10,kriteria kesucian,bge-m3,B,ID,0.3277
11,siapa yang layak disebut sebagai brahmana,bge-m3,B,ID,0.4316
12,kewajiban seorang bhikkhu,bge-m3,B,ID,0.5871
13,berbagai jenis pemberian,bge-m3,B,ID,0.9125
14,apa makna kekosongan,bge-m3,B,ID,0.4155
15,apa kualitas yang harus dimiliki oleh seorang penceramah,bge-m3,B,ID,0.7074
16,harta yang paling bernilai,bge-m3,B,ID,0.4159
17,kewajiban seorang umat awam,bge-m3,B,ID,0.5129
18,penyebab gempa bumi,bge-m3,B,ID,0.8997
19,jenis jenis kemelekatan,bge-m3,B,ID,0.5875
20,penggambaran terhadap keagungan buddha,bge-m3,B,ID,0.4818
21,jenis jenis manusia,bge-m3,B,ID,0.4406
22,cara mengikis kotoran batin,bge-m3,B,ID,0.5337
23,penjelasan tentang pandangan terang,bge-m3,B,ID,0.4209
24,apa yang terjadi pada saat pencapaian pencerahan,bge-m3,B,ID,0.87
25,perasaan malu dan takut,bge-m3,B,ID,0.5339
26,bersatu di kehidupan selanjutnya,bge-m3,B,ID,0.3917
27,jenis jenis karma buruk,bge-m3,B,ID,0.5686
28,berbagai jenis perbuatan baik,bge-m3,B,ID,0.8432
29,jenis orang yang tak boleh ditahbiskan,bge-m3,B,ID,1.0
30,apa itu proliferasi mental,bge-m3,B,ID,0.8391
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp1,ID,0.6667
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp1,ID,0.0
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp1,ID,0.7797
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp1,ID,0.7557
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp1,ID,0.8304
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp1,ID,0.6179
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp1,ID,0.4773
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp1,ID,0.3392
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp1,ID,0.3286
10,kriteria kesucian,gpl-gte-multilingual-base,exp1,ID,0.1782
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp1,ID,0.2183
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp1,ID,0.7851
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp1,ID,0.8869
14,apa makna kekosongan,gpl-gte-multilingual-base,exp1,ID,0.3673
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp1,ID,0.5725
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp1,ID,0.8432
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp1,ID,0.6257
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp1,ID,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp1,ID,1.0
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp1,ID,0.2055
21,jenis jenis manusia,gpl-gte-multilingual-base,exp1,ID,1.0
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp1,ID,0.7562
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp1,ID,0.5173
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp1,ID,0.5541
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp1,ID,0.7591
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp1,ID,0.1328
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp1,ID,0.5953
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp1,ID,0.7739
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,exp1,ID,1.0
30,apa itu proliferasi mental,gpl-gte-multilingual-base,exp1,ID,0.8227
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp2,ID,0.9125
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp2,ID,0.5296
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp2,ID,0.7797
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp2,ID,0.7557
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp2,ID,0.733
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp2,ID,0.435
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp2,ID,0.2698
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp2,ID,0.4105
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp2,ID,0.563
10,kriteria kesucian,gpl-gte-multilingual-base,exp2,ID,0.1268
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp2,ID,0.4504
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp2,ID,0.5435
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp2,ID,0.9026
14,apa makna kekosongan,gpl-gte-multilingual-base,exp2,ID,0.3018
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp2,ID,0.5725
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp2,ID,0.5586
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp2,ID,0.3733
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp2,ID,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp2,ID,0.8688
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp2,ID,0.0
21,jenis jenis manusia,gpl-gte-multilingual-base,exp2,ID,1.0
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp2,ID,0.8498
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp2,ID,0.5082
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp2,ID,0.3618
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp2,ID,0.7154
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp2,ID,0.2167
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp2,ID,0.6812
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp2,ID,0.6765
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,exp2,ID,1.0
30,apa itu proliferasi mental,gpl-gte-multilingual-base,exp2,ID,0.8154
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp3,ID,0.5973
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp3,ID,0.7227
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp3,ID,0.736
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp3,ID,0.7409
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp3,ID,0.8383
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp3,ID,0.435
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp3,ID,0.0713
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp3,ID,0.4105
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp3,ID,0.4647
10,kriteria kesucian,gpl-gte-multilingual-base,exp3,ID,0.1268
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp3,ID,0.4818
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp3,ID,0.8072
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp3,ID,0.9563
14,apa makna kekosongan,gpl-gte-multilingual-base,exp3,ID,0.74
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp3,ID,0.4836
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp3,ID,0.7026
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp3,ID,0.5817
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp3,ID,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp3,ID,1.0
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp3,ID,0.0487
21,jenis jenis manusia,gpl-gte-multilingual-base,exp3,ID,0.8869
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp3,ID,0.7752
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp3,ID,0.765
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp3,ID,0.5563
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp3,ID,0.7817
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp3,ID,0.2167
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp3,ID,0.5496
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp3,ID,0.9125
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,exp3,ID,0.8688
30,apa itu proliferasi mental,gpl-gte-multilingual-base,exp3,ID,0.8154
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp4,ID,0.5516
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp4,ID,0.0
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp4,ID,0.7649
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp4,ID,0.6534
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp4,ID,0.8869
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp4,ID,0.435
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp4,ID,0.5087
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp4,ID,0.2901
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp4,ID,0.4004
10,kriteria kesucian,gpl-gte-multilingual-base,exp4,ID,0.1641
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp4,ID,0.6499
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp4,ID,0.8663
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp4,ID,0.9026
14,apa makna kekosongan,gpl-gte-multilingual-base,exp4,ID,0.6186
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp4,ID,0.5725
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp4,ID,0.8638
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp4,ID,0.6729
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp4,ID,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp4,ID,0.9563
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp4,ID,0.1131
21,jenis jenis manusia,gpl-gte-multilingual-base,exp4,ID,1.0
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp4,ID,0.6771
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp4,ID,0.5259
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp4,ID,0.3673
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp4,ID,0.6716
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp4,ID,0.3403
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp4,ID,0.5841
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp4,ID,0.8087
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,exp4,ID,1.0
30,apa itu proliferasi mental,gpl-gte-multilingual-base,exp4,ID,0.9254
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp4.1,ID,0.6229
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp4.1,ID,0.0565
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp4.1,ID,0.7521
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp4.1,ID,0.6018
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp4.1,ID,0.8869
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp4.1,ID,0.5535
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp4.1,ID,0.4316
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp4.1,ID,0.2999
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp4.1,ID,0.4513
10,kriteria kesucian,gpl-gte-multilingual-base,exp4.1,ID,0.1105
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp4.1,ID,0.8304
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp4.1,ID,0.912
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp4.1,ID,0.8869
14,apa makna kekosongan,gpl-gte-multilingual-base,exp4.1,ID,0.5455
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp4.1,ID,0.519
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp4.1,ID,0.9026
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp4.1,ID,0.5749
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp4.1,ID,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp4.1,ID,0.9563
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp4.1,ID,0.1696
21,jenis jenis manusia,gpl-gte-multilingual-base,exp4.1,ID,1.0
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp4.1,ID,0.7072
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp4.1,ID,0.3814
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp4.1,ID,0.3673
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp4.1,ID,0.6716
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp4.1,ID,0.3403
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp4.1,ID,0.5466
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp4.1,ID,0.8087
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,exp4.1,ID,1.0
30,apa itu proliferasi mental,gpl-gte-multilingual-base,exp4.1,ID,0.9254
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp4.2,ID,0.5516
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp4.2,ID,0.7665
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp4.2,ID,0.7521
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp4.2,ID,0.7665
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp4.2,ID,0.9076
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp4.2,ID,0.435
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp4.2,ID,0.354
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp4.2,ID,0.5269
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp4.2,ID,0.2695
10,kriteria kesucian,gpl-gte-multilingual-base,exp4.2,ID,0.2491
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp4.2,ID,0.9563
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp4.2,ID,0.8611
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp4.2,ID,0.9026
14,apa makna kekosongan,gpl-gte-multilingual-base,exp4.2,ID,0.6327
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp4.2,ID,0.5725
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp4.2,ID,0.7252
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp4.2,ID,0.3766
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp4.2,ID,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp4.2,ID,1.0
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp4.2,ID,0.0
21,jenis jenis manusia,gpl-gte-multilingual-base,exp4.2,ID,0.8869
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp4.2,ID,0.7984
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp4.2,ID,0.4778
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp4.2,ID,0.3673
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp4.2,ID,0.6229
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp4.2,ID,0.3253
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp4.2,ID,0.563
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp4.2,ID,0.8087
