Korpus,Family,query_id,kueri,B,GPL,exp6,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,,-0.9111
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5973,-0.5309
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.6003,-0.4632
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.2626,-0.4525
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.4054,0.0,,-0.4054
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,,-0.3788
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,,-0.3158
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,,-0.3153
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,,-0.3127
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,,-0.2994
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.6105,-0.2926
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,,-0.2909
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,,-0.257
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.3229,-0.2374
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,,-0.2252
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,,-0.2232
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,,-0.1885
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.8638,-0.1848
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,,-0.1783
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,,-0.1682
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,,-0.1538
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7113,-0.1312
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9287,-0.1279
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.519,0.3913,,-0.1277
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9073,0.8132,,-0.0941
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.7557,-0.0899
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,,-0.0875
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7851,0.7033,,-0.0818
