Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,Δ(exp4.2-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,-0.2294,0.7379,-0.6669,-0.9177,0.2294,-0.9177,0.2294,-1.5846
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.2236,0.1118,-0.1026,0.4472,0.4472,-0.7826,-0.8721,-1.2298
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.2236,-0.1118,0.3536,-0.1118,-0.1118,-0.1118,0.4472,-1.0062
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2052,0.7071,-0.7071,-0.1118,0.7906,-0.3536,0.6708,-0.7826,0.9,-0.9878
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,,,-0.7071,0.7071,,-0.4472,-0.3441,-0.8944
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,0.6708,0.7071,0.2887,0.0,0.0,0.0,-0.866
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,-0.4472,0.0,-0.5407,0.0526,-0.1081,-0.8944,-0.8152
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3162,-0.9747,0.4588,-0.3162,-0.527,-0.4,0.1581,-0.7536
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1026,0.6669,0.1118,0.866,0.5643,0.3354,0.2236,0.7071,-0.6708
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.0513,0.7071,0.7071,0.5789,-0.8208,-0.3536,-0.3536,-0.7182,-0.7826,-0.6669
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.5643,0.4472,0.2962,-0.7,0.6669,0.3078,0.0,0.0,,-0.5643
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.6,-0.5643,0.2,-0.4472,-0.6708,-0.7,0.0,-0.4764
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.6708,-0.4104,0.2,-0.5643,-0.2635,-0.1539,0.1026,-0.4701
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.4472,-0.1581,-0.6669,0.7826,0.3536,-0.1539,-0.2236,-0.4426
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.527,0.7906,-0.2052,-0.1,-0.3591,-0.3,0.2052,-0.4054
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.866,0.7826,0.8944,0.7826,0.8721,0.0,-0.1814,-0.3536
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.2962,-0.9177,-0.9177,0.2294,0.8158,-0.6882,0.4588,-0.5923,-0.3441,-0.2961
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.6669,0.2635,0.3162,-0.1581,-0.5643,-0.1581,0.4617,0.4472,0.3354,-0.2197
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1026,0.7071,0.8944,-0.2,0.3536,0.8944,0.8944,-0.1026,-0.7071,-0.2052
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.2632,-0.6156,-0.3591,-0.5526,-0.4617,-0.3591,-0.1026,-0.2012
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,-0.1026,0.1539,0.9747,0.9733,-0.1539,-0.0513,0.0513,0.0513,-0.1723
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.7826,0.6,1.0,0.2294,0.5643,0.5643,0.5643,0.7255,-0.1612
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.7379,0.9747,0.7,0.4104,0.3078,0.8208,0.7379,0.9211,-0.1281
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.8721,0.6325,0.3354,0.1118,0.7906,0.6325,0.7906,0.5774,-0.0754
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.7826,-0.1539,0.7,0.8208,0.1026,-0.6156,-0.4,0.8,-0.0311
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,0.3536,0.7071,0.7071,0.7071,,0.7071,0.7071,0.0
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.7906,-0.1118,0.2895,0.5774,-0.2887,0.0,0.8944,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7906,0.6156,0.5643,0.7906,-0.2887,-0.1054,0.6325,0.7906,0.5774,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.8944,0.7071,0.7071,0.7071,0.1053,0.7071,0.7071,0.0
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,0.2887,-0.3591,0.7071,0.2236,-0.7182,-0.6,-0.7182,-0.4472,0.0073
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9747,0.3,0.2294,0.7826,0.4743,0.9747,0.3,0.9747,0.0113
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,-0.8885,-0.7071,0.3078,,,-0.6669,-0.5,0.0402
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.3162,-0.3536,-0.3536,-0.2635,-0.8944,0.6669,0.8944,0.3591,0.4472,0.0429
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.6882,0.3162,0.1,-0.3,0.6669,0.6,0.6,0.3,0.073
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,-0.7071,0.6325,0.8944,-0.3536,-0.7071,-0.4104,0.0,0.2967
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,,-0.5774,0.5774,0.3627,-0.2582,0.7826,0.0,0.4199
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.1118,0.6708,-0.2236,0.7906,0.7906,0.4472,0.1118,0.4472
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-0.5643,-0.25,-0.7826,-0.3953,-0.3627,0.7906,0.6708,0.4828
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2294,0.2236,0.5643,0.9747,0.1539,0.8721,0.6669,0.7182,-0.0513,0.4888
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.3591,0.3162,0.6325,0.4617,0.6669,0.8721,0.6669,-0.1026,0.5047
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.4743,-0.1081,-0.0513,-0.8944,-0.5774,0.9733,0.0,0.5261
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.7906,0.1539,0.2,0.5643,0.0527,0.5643,0.5643,-0.9,0.5643
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.3591,0.3591,0.3591,0.1581,0.6156,0.1,0.2052,0.9747,0.4104,0.6156
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.6669,0.6882,1.0,0.8944,0.8944,-0.6669,-0.6669,0.0,0.3536,0.6669
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,0.3536,0.3078,0.8944,0.2236,0.7071,0.0,0.7071
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,-0.866,-0.4472,-0.6,0.2236,0.2236,0.4472,0.5643,0.7107
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,0.3591,0.4,0.2635,0.0527,0.0513,0.1539,0.7584
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,-0.2887,0.7071,0.0,0.0,0.0,0.8944,0.0,0.8944
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.6882,0.4,-0.2052,-0.6669,-0.6708,0.8208,-0.7,1.1744
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.2236,-0.8944,-0.6708,-0.7906,-0.6708,0.7071,0.3536,1.3227
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.9177,0.9733,0.866,0.2108,0.2108,0.9487,-0.1054,1.4757
