Saya mengakses web melalui...,Saya menggunakan tema tampilan web...,Saya menggunakan bahasa tampilan web...,Saya berpikir akan menggunakan sistem ini lagi.,Saya merasa sistem ini rumit untuk digunakan.,Saya merasa sistem ini mudah untuk digunakan.,Saya membutuhkan bantuan dari orang lain atau teknisi dalam menggunakan sistem ini.,Saya merasa fitur-fitur sistem ini berjalan dengan semestinya.,Saya merasa ada banyak hal yang tidak konsisten (tidak serasi) pada sistem ini.,Saya merasa orang lain akan memahami cara menggunakan sistem ini dengan cepat.,Saya merasa sistem ini membingungkan.,Saya merasa tidak ada hambatan dalam menggunakan sistem ini.,Saya perlu membiasakan diri terlebih dahulu sebelum menggunakan sistem ini.,Saran & Masukan
Mobile,Terang,Indonesia,5,2,4,1,4,2,4,1,4,2,"Silakan dilanjutkan dan dikembangkan dengan baik. Untuk kueri perlu diperluas, mau dikelompokkan berdasarkan kelompok tertentu atau masalah tertentu sehingga sistem ini sangat bermanfaat terutama bagi peselancar mengenai klue Buddhisme."
Mobile,Terang,Indonesia,5,1,5,1,5,1,5,1,5,2,Sudah bagus
Desktop,Terang,Indonesia,5,1,5,1,5,2,5,2,4,4,navigasi sistem udah bagus dan fitur ai sangat membantu memahami konteks lebih luas atau lebih lanjut dari hasil pencarian
Mobile,Terang,Indonesia,5,2,5,1,5,1,4,2,5,4,"- Home display terlalu hambar & to the point, mungkin bisa ditambahkan kutipan Sutta/gambar tertentu. Intinya jangan langsung & hanya ada Sutta, Vinaya, & Abhidhamma 
- Semoga ditambahkan fitur Kamus Pali & terjemahan kata demi kata
- Semoga ditambahkan Atthakatha & Tika"
Mobile,Terang,Indonesia,4,4,2,1,3,2,4,3,4,4,"Apakah itu tidak bisa dibuat Pali dan Indonesia paralel ? Saran saya untuk komentar dll sangha khususnya bhante2 yang memahami sutta dapat punya akses supaya bisa tanya jawab dengan umat. Dan agak kesusahan karena harus klik menu banyak cuma overall good sih, anumodami"
Mobile,Terang,Indonesia,5,2,5,2,5,1,4,1,4,4,Sejauh ini tidak ada kendala
Mobile,Terang,Indonesia,4,4,2,1,3,3,4,4,4,4,Mungkin bisa ditambah integrasi Y
Mobile,Terang,Indonesia,5,2,5,1,5,2,4,1,2,2,Saran saya di awal saat pertama kali membuka sistem bisa diberikan semacam guide untuk menunjukkan fitur yang ada karena mungkin beberapa orang ga notice sama fitur² tertentu (saya baru tau ada fitur mode gelapnya setelah isi kuisioner ini🥀✌🏽) but overall ini udah bagus banget dan mudah digunakan. Semoga bisa terus berkembang💜
Mobile,Terang,Indonesia,4,2,3,2,3,2,4,2,3,4,-
Mobile,Terang,Indonesia,4,4,5,1,5,2,4,3,5,1,Warna latar belakang abu-abu. Warna tulisan hitam. Ini membuat tulisannya jadi agak sukar dibaca.
Mobile,Terang,Indonesia,5,1,5,1,4,3,5,2,5,2,Baik
Desktop,Terang,Indonesia,5,2,4,1,5,1,5,1,5,3,-
Mobile,Gelap,Inggris,4,3,4,2,4,1,2,4,3,4,-
Mobile,Terang,Indonesia,5,2,5,1,5,3,5,1,5,2,Sudah bagus
Mobile,Gelap,Inggris,4,1,5,1,4,1,4,1,5,1,-
Desktop,Terang,Indonesia,5,2,4,1,4,1,3,2,4,5,harus kotak Feedback unt menampung masukan org lain 
Desktop,Terang,Indonesia,4,3,3,2,4,2,3,2,3,4,Sudah oke
Desktop,Terang,Indonesia,5,2,4,2,4,2,4,2,3,3,Ditanbahkan kamus akan jadi lebih baik
Desktop,Gelap,Indonesia,5,2,4,1,4,3,3,2,2,3,Ok
Mobile,Gelap,Indonesia,4,3,3,2,4,1,4,2,4,3,Font bisa dibesarkan
Desktop,Gelap,Indonesia,4,2,4,1,4,2,4,1,4,2,baguss
Mobile,Gelap,Indonesia,5,1,4,2,3,1,5,2,5,2,ditingkatkan kecepatan AI nya
Mobile,Terang,Indonesia,4,3,4,2,4,2,5,1,2,4,"menarik untuk digunakan lagi
"
Desktop,Terang,Indonesia,5,1,3,2,4,1,4,2,4,1,bagusss
Mobile,Gelap,Indonesia,4,1,3,2,5,2,3,2,4,2,"bisa lebih di mudahkan untuk menggunakannya
"
Desktop,Terang,Indonesia,4,2,3,2,4,1,5,2,4,3,bisa ditingkatkan lagi
Desktop,Terang,Indonesia,4,2,4,2,4,1,3,2,4,2,"warnanya jangan ungu
"
Desktop,Terang,Indonesia,5,1,4,1,4,1,4,1,5,2,okee
Mobile,Terang,Indonesia,3,2,4,2,1,1,5,3,4,2,warna jangan terlalu mencolok
Mobile,Gelap,Indonesia,5,1,5,1,5,2,4,4,4,2,bisa ditambahkan fitur kitab komentar
Mobile,Gelap,Indonesia,4,1,5,2,5,2,5,1,4,2,perlu dibikim versi lebih mudah
Desktop,Gelap,Indonesia,3,3,4,2,4,2,5,3,4,1,keren
