Model,Versi,Korpus,Spearman,Spearman (tanpa heading)
gpl-gte-multilingual-base,exp5.1,ID,0.6088,0.6088
gpl-gte-multilingual-base,exp5.3,ID,0.5783,0.5783
gpl-gte-multilingual-base,exp5.0,ID,0.5532,0.5532
gpl-gte-multilingual-base,exp4,ID,0.5485,0.5485
gpl-gte-multilingual-base,exp4.1,ID,0.5455,0.5455
gpl-gte-multilingual-base,exp5.4,ID,0.5193,0.5193
gpl-gte-multilingual-base,exp2,ID,0.5175,0.5175
gpl-multilingual-e5-base,exp5.1,ID,0.5067,0.5067
gpl-multilingual-e5-base,exp5.0,ID,0.4968,0.4968
gpl-multilingual-e5-base,exp3,ID,0.4756,0.4756
multilingual-e5-base,exp5,ID,0.4741,0.4741
gpl-gte-multilingual-base,exp4.3,ID,0.4653,0.4653
gpl-gte-multilingual-base,exp5.2,ID,0.4647,0.4647
gpl-gte-multilingual-base,exp3,ID,0.4616,0.4616
gpl-multilingual-e5-base,GPL,ID,0.4572,0.4572
gpl-multilingual-e5-base,exp5.4,ID,0.4558,0.4558
gpl-multilingual-e5-base,exp2,ID,0.451,0.451
gpl-gte-multilingual-base,GPL,ID,0.4188,0.4188
gpl-multilingual-e5-base,exp5.2,ID,0.4173,0.4173
gpl-gte-multilingual-base,exp4.2,ID,0.4158,0.4158
gpl-gte-multilingual-base,exp1,ID,0.4099,0.4099
gte-multilingual-base,exp5,ID,0.4088,0.4088
gpl-multilingual-e5-base,exp1,ID,0.3937,0.3937
BM25,B,ID,0.3877,0.3877
gpl-multilingual-e5-base,exp4.2,ID,0.3706,0.3706
gpl-multilingual-e5-base,exp5.3,ID,0.3632,0.3632
gte-multilingual-base,B,ID,0.3582,0.3582
gpl-multilingual-e5-base,exp4.1,ID,0.3483,0.3483
gpl-multilingual-e5-base,exp4.3,ID,0.3202,0.3202
multilingual-e5-base,B,ID,0.3043,0.3043
gpl-multilingual-e5-base,exp4,ID,0.2805,0.2805
bge-m3,B,ID,0.1337,0.1337
