Korpus,Family,query_id,kueri,B,GPL,exp3,Δ(exp3-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.0,-0.9111
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.0,-0.9076
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.0,-0.8272
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.1131,-0.7718
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.2491,-0.6582
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.2331,-0.6307
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.2391,-0.626
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.3452,-0.5574
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.2443,-0.5502
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.3392,-0.5477
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.0,-0.5296
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.476,-0.4803
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.1476,-0.4249
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.4464,-0.4174
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.3333,-0.4125
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.2557,-0.411
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.0,-0.3948
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.5087,-0.3939
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.2588,-0.3904
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.1692,-0.3843
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.2037,-0.3714
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.6469,-0.3531
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.4249,-0.3116
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.2928,-0.3087
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.2896,-0.3086
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.7104,-0.2896
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.2491,-0.2845
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.4729,-0.2699
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.5933,-0.2225
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.3333,-0.2133
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.4583,-0.1823
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.2405,-0.175
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.0,-0.149
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.8152,-0.1411
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.5851,-0.141
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.5531,-0.1362
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.1993,-0.1093
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4668,0.3974,0.3655,-0.1013
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.5202,-0.0836
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.7071,-0.0726
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4296,-0.0163
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8235,0.738,0.8156,-0.0079
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.5556,-0.0059
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.851,0.8284,0.8849,0.0339
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.5082,0.0445
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.5419,0.0572
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.5661,0.06
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.9287,0.0875
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4637,0.7346,0.5845,0.1208
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.7508,0.1844
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.9287,0.2105
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3486,0.4602,0.5686,0.22
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3345,0.0,0.5569,0.2224
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.7494,0.3751
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.6631,0.383
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,0.8688,0.6992
