Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(GPL-B)
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7895,-0.866,,-1.6555
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.7255,-0.7255,-0.7255,-1.451
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.7071,-0.7071,-0.7071,-1.4142
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.2236,-0.7826
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-0.7072
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.5774,-0.6324
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.2887,-0.2887,0.0,-0.5774
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,-0.8885,,-0.5349
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.2887,-0.3536
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,-0.3536,-0.3536
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,-0.2887,-0.2887,-0.2887
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.866,-0.2886
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.5798,-0.2366
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,-0.2335
ID,multilingual-e5-base,25,perasaan malu dan takut,-0.3536,-0.5774,-0.5774,-0.2238
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.803,0.7826,0.5643,-0.0204
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.8944,0.0
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.2236,0.0
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.2887,0.0
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,,0.0
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.8944,0.0284
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,0.0383
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7826,-0.7255,,0.0571
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.3536,-0.2887,-0.2887,0.0649
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.5774,0.0651
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.866,0.1589
ID,gte-multilingual-base,27,jenis jenis karma buruk,-0.1581,0.0513,0.1581,0.2094
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,-0.3162,0.0,0.7255,0.3162
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.527,0.34
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.2635,0.3536
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.6708,0.4104
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.0,0.4472
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,0.2368,0.9205
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.6669,0.9307
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,-0.3162,0.9491
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,1.0,1.0236
