Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp5.2-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6708,-0.2294,0.0,0.866,-0.527,-0.9177,0.0,-0.9177,0.2294,-0.2887,0.3536,0.3536,-0.866,0.2236,0.4472,0.0,-0.9487,-0.5774,,-1.5368
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,,,-0.4472,0.2236,0.2962,0.2962,0.8885,,0.0527,,,-0.7454,0.3536,0.5923,0.5923,0.0,0.0,,-1.4525
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,-0.6325,,-0.3536,0.7906,0.5923,,0.0,0.8944,-0.7906,0.3536,-1.0,-0.7906,-1.0,-0.7906,-0.7906,,0.4472,-1.3689
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,,,-0.7071,,,-0.7071,-0.7255,-0.7071,,,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,,-1.1543
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,0.2962,-0.527,0.8944,0.3078,0.0,0.0,,0.5774,,0.3536,-0.3354,0.0,0.0,0.0,0.4472,0.9747,0.2108,-0.9679
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3536,,,0.7071,-0.7071,-0.5774,-0.7071,0.7255,,0.0,-0.5774,,-0.5774,0.0,-0.7071,,,,,-0.931
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3162,-0.9487,0.4588,-0.3162,-0.527,-0.6708,-0.2887,-0.2887,0.2887,-0.3536,-0.3536,-0.2887,0.0,0.0,-0.3536,-0.3536,,-0.7072
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.9747,0.4472,0.3162,0.3078,0.8208,0.7379,0.9211,-0.2887,0.8944,0.8944,0.2236,0.3162,0.527,0.0,0.0527,0.0527,-0.866,-0.6424
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5774,,,0.3536,-0.8944,0.2887,0.7071,0.2887,0.0,-0.5774,0.4472,0.2236,0.0,0.9487,0.4472,0.4472,0.0,0.7379,0.0,-0.5774
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,-0.9177,0.6489,0.6882,-0.6882,0.4588,-0.5923,-0.2962,0.7071,-0.3536,0.0,-0.4472,-0.3536,0.7906,-0.2887,-0.3536,-0.3536,-0.8885,-0.5553
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7071,0.4617,0.5774,-0.7255,-0.2236,,,,-0.3536,0.2887,0.5798,0.5798,0.2887,0.3689,0.7071,0.866,0.7071,0.2887,,-0.4184
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.7071,0.7071,-0.7071,0.7071,0.3536,0.7071,0.7071,0.2236,0.7071,0.3536,0.3536,0.7071,0.3953,0.3953,-0.2236,1.0,0.3536,-0.1734
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,0.7071,0.7071,0.2887,0.0,-0.2887,0.0,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,,-0.1589
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7255,0.1539,0.1539,-0.2236,-0.7379,0.9487,0.9487,-0.2887,0.7255,0.6325,0.2236,0.2236,0.6708,0.6708,0.3162,-0.2635,0.0,0.4472,,-0.0547
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.2887,0.6708,-0.866,-0.1118,0.4472,0.0,-0.1539,0.0,-0.3591,-0.3591,-0.1581,0.2887,0.2887,-0.7255,,-0.2052,-0.4472,,-0.0275
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.2108,0.7071,0.7071,0.6489,-0.866,-0.3536,-0.3536,-0.866,-0.866,-0.7071,-0.7071,-0.7071,-0.2236,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,,-0.0128
