Model,Versi,Korpus,Spearman,Spearman (tanpa heading)
gpl-gte-multilingual-base,exp5.1,ID,0.5808,0.5808
gpl-gte-multilingual-base,exp4.1,ID,0.5737,0.5737
gpl-gte-multilingual-base,exp4,ID,0.5634,0.5634
gpl-gte-multilingual-base,exp5.4.3,ID,0.5602,0.5602
gpl-gte-multilingual-base,exp5.0,ID,0.5562,0.5562
gpl-gte-multilingual-base,exp5.4.1,ID,0.556,0.556
gpl-gte-multilingual-base,exp5.3,ID,0.5442,0.5442
gpl-gte-multilingual-base,exp5.4.2,ID,0.5144,0.5144
gpl-gte-multilingual-base,exp5.4,ID,0.5141,0.5141
gpl-multilingual-e5-base,exp5.0,ID,0.5096,0.5096
multilingual-e5-base,exp5,ID,0.5013,0.5013
gpl-multilingual-e5-base,exp5.1,ID,0.4843,0.4843
gpl-gte-multilingual-base,exp2,ID,0.4825,0.4825
gte-multilingual-base,exp5,ID,0.4777,0.4777
gpl-gte-multilingual-base,exp5.2,ID,0.4757,0.4757
gpl-multilingual-e5-base,exp5.4.1,ID,0.4669,0.4669
gpl-multilingual-e5-base,exp3,ID,0.4612,0.4612
gpl-gte-multilingual-base,exp4.3,ID,0.4531,0.4531
gpl-gte-multilingual-base,GPL,ID,0.4499,0.4499
gpl-gte-multilingual-base,exp1,ID,0.4476,0.4476
gpl-multilingual-e5-base,exp2,ID,0.445,0.445
gpl-multilingual-e5-base,exp5.2,ID,0.4334,0.4334
gpl-multilingual-e5-base,exp5.4,ID,0.4324,0.4324
gpl-gte-multilingual-base,exp3,ID,0.4302,0.4302
gpl-gte-multilingual-base,exp4.2,ID,0.4179,0.4179
BM25,B,ID,0.4161,0.4161
gte-multilingual-base,B,ID,0.3989,0.3989
gpl-multilingual-e5-base,exp5.3,ID,0.3947,0.3947
gpl-multilingual-e5-base,exp4.1,ID,0.3867,0.3867
gpl-multilingual-e5-base,GPL,ID,0.3847,0.3847
gpl-multilingual-e5-base,exp4.2,ID,0.3721,0.3721
multilingual-e5-base,B,ID,0.3573,0.3573
gpl-multilingual-e5-base,exp1,ID,0.3568,0.3568
gpl-multilingual-e5-base,exp5.4.2,ID,0.3544,0.3544
gpl-multilingual-e5-base,exp5.4.3,ID,0.3479,0.3479
gpl-multilingual-e5-base,exp4.3,ID,0.3364,0.3364
gpl-multilingual-e5-base,exp4,ID,0.3288,0.3288
bge-m3,B,ID,0.0986,0.0986
