Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,0.1312,-1.0
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.1003,-0.8721
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.3392,-0.7423
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.3226,-0.7173
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.3392,-0.5895
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.5148,-0.4603
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.1131,-0.4464
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3604,0.0,0.1963,-0.3604
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.5087,-0.3325
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.7227,0.7896,-0.2773
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.5296,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8997,0.7104,0.3948,-0.1893
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,0.9125,-0.1696
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,1.0,0.8304,0.786,-0.1696
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.6608,-0.1653
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.3325,-0.138
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,0.3452,-0.1312
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.8073,-0.1072
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.5417,-0.0974
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.5586,-0.0974
ID,multilingual-e5-base,19,jenis jenis kemelekatan,1.0,0.9125,0.8688,-0.0875
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1309,0.0506,0.0,-0.0803
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8152,0.736,0.7945,-0.0792
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,0.7557,-0.0747
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7738,0.7116,0.7738,-0.0622
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6765,0.618,0.6357,-0.0585
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.6844,-0.0566
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,1.0,-0.0487
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8304,0.786,0.6844,-0.0444
ID,gte-multilingual-base,14,apa makna kekosongan,0.8688,0.8688,0.2025,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,0.7896,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,0.8869,0.0
ID,multilingual-e5-base,30,apa itu proliferasi mental,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,10,kriteria kesucian,0.1461,0.1461,0.4592,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,0.8688,0.0
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,0.8869,0.0
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5892,0.6078,0.1372,0.0186
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.4704,0.4959,0.6534,0.0255
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.2005,0.026
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.2916,0.028
ID,multilingual-e5-base,16,harta yang paling bernilai,0.9513,1.0,0.4966,0.0487
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8539,0.9125,0.8589,0.0586
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.7738,0.8349,0.8961,0.0611
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.9125,0.0855
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.4697,0.577,0.6786,0.1073
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6608,0.7817,0.2591,0.1209
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8688,1.0,0.8539,0.1312
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,0.1461
ID,gte-multilingual-base,10,kriteria kesucian,0.0,0.1461,0.2739,0.1461
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3156,0.4753,0.4522,0.1597
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.6026,0.8102,0.6376,0.2076
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4161,0.6786,0.4161,0.2625
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1539,0.4522,0.3392,0.2983
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.2979,0.7591,0.5119,0.4612
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.0974,0.6667,0.6667,0.5693
