Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp5.4-B)
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-0.5643,-0.7906,-0.7826,-0.3953,-0.3627,,0.5774,0.8208,-0.7906,0.3536,-1.0,-1.0,-1.0,-1.3078
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.6708,-0.4104,0.1026,-0.5643,-0.2635,-0.1539,0.1026,-0.4,-0.2052,-0.1581,0.2052,0.2052,-0.9177,-1.2339
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9747,0.3,0.2294,0.7826,0.4743,0.9747,0.3,0.8721,0.7071,0.8721,0.6669,0.8721,0.9,-0.6708,-0.9595
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.8721,0.6325,0.3354,0.1118,0.7906,0.6325,0.7906,0.5774,0.0,0.527,0.527,0.0,0.1581,0.0,-0.866
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,,,-0.7071,0.7071,,-0.4472,-0.3441,-0.7071,,-0.3536,-0.866,-0.6708,-0.3162,-0.7634
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.6882,0.3162,0.1,-0.3,0.6669,0.1,0.6,0.3,0.4617,0.8208,-0.1118,-0.1118,0.6,-0.2294,-0.7564
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.7826,0.6,1.0,0.2294,0.5643,0.5643,0.5643,0.7255,-0.2163,-0.7,-0.0278,-0.8,-0.0278,-0.0278,-0.7533
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1026,0.7071,0.8944,-0.7,0.3536,0.8944,0.8944,-0.1026,-0.7071,0.9487,-0.4472,0.4472,-0.4588,0.2236,-0.4472,-0.5498
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,-0.4472,0.0,0.0,0.3684,0.6489,0.2236,0.0,,,-0.7454,-0.1539,0.1579,-0.5492
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.6882,0.4,-0.2052,-0.6669,-0.6708,0.6669,-0.5,-0.2236,-0.6669,-0.2236,-0.8,-0.7826,-0.8944,-0.5408
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.8944,0.7071,0.7071,0.7071,0.1053,0.7071,0.7071,0.4472,0.5643,0.5643,0.5,0.2052,0.2236,-0.4835
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.0513,0.7071,0.7071,0.5789,-0.8208,-0.3536,-0.3536,-0.7182,-0.7826,-0.6708,-0.4472,-0.4472,0.0,-0.1539,-0.4472,-0.3959
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.3591,0.3591,0.3591,0.1581,0.6156,0.1,0.2052,0.9747,0.4104,-0.0278,-0.0278,-0.0278,-0.6669,-0.0278,-0.0278,-0.3869
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,0.3536,0.3078,0.8944,0.2236,0.7071,0.0,0.9747,0.4472,0.2236,0.4104,-0.4472,-0.3591,-0.3591
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,-0.2294,0.7379,-0.6669,-0.9177,0.2294,-0.9177,0.2294,-0.0527,0.7,0.7,-0.866,-0.2236,0.3591,-0.3078
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.7379,0.9747,0.7,0.4104,0.3078,0.8208,0.7379,0.9211,-0.3162,0.9747,0.9747,0.4,0.2052,0.5643,-0.3017
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7906,0.6156,0.5643,0.7906,-0.2887,-0.1054,0.6325,0.7906,0.5774,0.0,0.527,0.527,0.527,0.0,0.527,-0.2636
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3162,-0.9747,0.4588,-0.3162,-0.527,-0.4,0.1581,0.0513,0.1,0.1,-0.0513,0.0513,0.1,-0.2536
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.7071,-0.1118,0.3536,-0.1118,-0.1118,-0.1118,0.4472,0.7071,,,,,0.7071,-0.1873
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.5643,0.4472,0.2962,-0.7,0.6669,0.3078,0.0,0.0,,0.6156,,0.8721,0.2236,0.866,0.4472,-0.1171
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5441,0.3078,0.4056,-0.0513,0.1026,-0.7906,,,0.6124,0.3536,0.7906,0.7906,0.6325,,0.4588,-0.0853
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.3591,0.3162,0.6325,0.4617,0.6669,0.8721,0.6669,-0.1026,0.0,0.4104,0.5,0.6669,0.7906,0.1054,-0.0568
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.7906,0.1539,0.2,0.5643,0.0527,0.5643,-0.0513,-0.9,-0.2236,0.9747,0.9747,0.4,0.4,-0.0513,-0.0513
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.527,0.7906,-0.2052,-0.1,-0.3591,-0.3,0.2052,0.6325,0.0513,0.0513,0.5,-0.5,0.1,-0.0054
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,0.6708,0.7071,0.2887,0.0,0.0,0.0,0.866,0.866,0.866,0.8944,0.8944,0.866,0.0
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.866,0.7826,0.8944,0.7826,0.8721,0.0,-0.1814,0.6708,0.3536,0.7071,0.3536,0.8944,0.3536,0.0
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.6325,0.2962,0.866,0.25,-1.0,,0.7746,0.866,0.0,0.0,,0.7071,0.9682,0.1022
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.2236,0.1118,-0.1026,0.4472,0.4472,0.2236,-0.3591,-0.6325,0.6708,0.8944,0.9747,-0.0513,0.6708,0.2236
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2294,0.2236,0.0513,0.9747,0.1539,0.8721,0.6669,0.7182,-0.0513,0.8944,0.5643,0.5,0.7,0.6669,0.5,0.2706
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.6669,0.2635,0.3162,-0.1581,-0.5643,-0.1581,0.4617,0.4472,0.3354,0.5774,0.3536,0.7071,0.8944,0.866,0.9487,0.2818
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.6,-0.5643,0.2,-0.4472,-0.6708,-0.7,0.0,0.1,0.1,0.1,0.3,0.4104,0.1,0.3236
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.3162,-0.3536,-0.3536,-0.2635,-0.8944,0.6669,0.8944,0.3591,0.4472,-0.866,0.6669,0.5643,-0.3536,0.7071,0.6669,0.3507
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.4743,-0.1081,-0.0513,-0.8944,-0.5774,0.9733,0.0,0.2052,0.9,0.9,0.5643,0.6,0.8208,0.3736
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,-0.1026,0.1539,0.9747,0.9733,-0.1539,-0.0513,0.0513,0.0513,0.8944,0.5643,0.5643,0.2052,0.3,0.6,0.3764
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,,-0.5774,0.5774,0.3627,-0.2582,0.7826,0.0,0.8721,,,0.7071,0.8944,0.8721,0.5094
