Model,Versi,Korpus,nDCG@5
gpl-gte-multilingual-base,exp5.4.3,ID,0.7665
gpl-multilingual-e5-base,exp5.0,ID,0.7594
gpl-gte-multilingual-base,exp5.2,ID,0.7583
gpl-multilingual-e5-base,exp5.1,ID,0.7582
gpl-multilingual-e5-base,exp5.2,ID,0.7561
multilingual-e5-base,exp5,ID,0.7509
gpl-gte-multilingual-base,exp5.3,ID,0.7495
gpl-multilingual-e5-base,exp5.3,ID,0.7469
gpl-gte-multilingual-base,exp5.4.2,ID,0.7427
gte-multilingual-base,exp5,ID,0.7359
gpl-multilingual-e5-base,exp5.4,ID,0.7349
gpl-multilingual-e5-base,exp4.3,ID,0.7349
gpl-gte-multilingual-base,exp5.1,ID,0.7248
gpl-multilingual-e5-base,exp5.4.1,ID,0.7238
gpl-gte-multilingual-base,exp5.0,ID,0.7208
gpl-multilingual-e5-base,exp5.4.2,ID,0.72
gpl-multilingual-e5-base,exp5.4.3,ID,0.7198
multilingual-e5-base,B,ID,0.7185
gpl-gte-multilingual-base,exp5.4,ID,0.7004
gpl-gte-multilingual-base,exp4.3,ID,0.695
gpl-gte-multilingual-base,exp5.4.1,ID,0.6892
gte-multilingual-base,B,ID,0.6803
gpl-gte-multilingual-base,exp4.2,ID,0.6775
gpl-multilingual-e5-base,exp4.2,ID,0.6726
gpl-gte-multilingual-base,GPL,ID,0.6608
gpl-gte-multilingual-base,exp4,ID,0.6589
gpl-multilingual-e5-base,exp3,ID,0.6517
gpl-gte-multilingual-base,exp3,ID,0.6505
gpl-gte-multilingual-base,exp4.1,ID,0.6489
bge-m3,B,ID,0.6478
gpl-multilingual-e5-base,exp1,ID,0.6437
gpl-gte-multilingual-base,exp1,ID,0.6405
gpl-multilingual-e5-base,exp4.1,ID,0.6278
gpl-multilingual-e5-base,exp2,ID,0.6246
gpl-gte-multilingual-base,exp6,ID,0.6117
gpl-multilingual-e5-base,GPL,ID,0.6103
gpl-multilingual-e5-base,exp4,ID,0.61
BM25,B,ID,0.6034
gpl-gte-multilingual-base,exp2,ID,0.5882
