Korpus,Family,query_id,kueri,B,GPL,exp4,Δ(exp4-B)
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.387,-0.5668
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.3072,-0.4737
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.5087,-0.4338
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2884,-0.421
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6356,0.3809,0.2274,-0.4082
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.3513,-0.3706
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.301,-0.3469
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6588,-0.2821
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.6112,-0.2177
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.7492,-0.2119
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.2012,-0.2064
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.6534,-0.2053
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6798,-0.2022
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.5817,-0.1924
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9373,0.7637,0.7452,-0.1921
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6572,-0.1906
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.628,-0.1884
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.6597,-0.1736
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.1068,-0.1548
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2908,0.1945,0.145,-0.1458
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.4415,-0.1309
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8907,-0.0874
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8397,-0.0809
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6919,0.3509,0.6173,-0.0746
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7262,-0.0741
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.9373,-0.0627
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.4761,-0.0582
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9435,-0.0565
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.7807,-0.0526
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.6544,-0.0349
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.5274,-0.0261
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8358,-0.0233
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,0.9563,-0.0218
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9366,-0.0193
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9191,-0.0128
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8882,-0.0091
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4538,0.0
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.8138,0.0002
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9585,0.0026
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.6635,0.0155
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9881,0.0177
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6908,0.4768,0.7218,0.031
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.9043,0.038
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.6438,0.0456
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.9294,0.0511
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4339,0.0787
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.734,0.1005
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.5652,0.101
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.3331,0.1169
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.2901,0.1387
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7263,0.852,0.8884,0.1621
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9287,0.1723
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7263,0.9098,0.9022,0.1759
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.407,0.1826
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,0.2527
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.6885,0.3474
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.6213,0.4796
