Korpus,Family,query_id,kueri,B,GPL,exp5,Δ(exp5-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5594,-0.3255
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.6312,-0.21
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8156,-0.1844
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.4608,-0.143
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.6052,-0.113
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6087,0.2536,0.5017,-0.107
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.3136,-0.1019
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.6476,-0.0889
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.7021,-0.0776
ID,multilingual-e5-base,14,apa makna kekosongan,0.7827,0.0,0.7346,-0.0481
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.856,-0.0466
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9563,-0.0437
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.5129,-0.0406
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.3609,-0.0339
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.8638,-0.0231
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.6456,-0.0211
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.5331,-0.0005
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.9563,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.5167,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.3859,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.9076,0.0
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.874,0.0089
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,0.0437
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4918,0.0459
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.9125,0.0487
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.9563,0.0537
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.6349,0.0624
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9914,0.0841
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,0.9491,0.088
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.8362,0.0904
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.9563,0.0925
