Model,Versi,Korpus,Spearman,Spearman (tanpa heading)
gpl-gte-multilingual-base,exp4.1,ID,0.5665,0.5665
gpl-gte-multilingual-base,exp4,ID,0.5213,0.5213
gte-multilingual-base,exp5,ID,0.4798,0.4798
multilingual-e5-base,exp5,ID,0.4778,0.4778
gpl-gte-multilingual-base,exp5.1,ID,0.4616,0.4616
gpl-gte-multilingual-base,exp5.0,ID,0.4596,0.4596
gpl-multilingual-e5-base,exp5.2,ID,0.441,0.441
gpl-gte-multilingual-base,exp5.3,ID,0.4382,0.4382
gpl-gte-multilingual-base,GPL,ID,0.4324,0.4324
gpl-gte-multilingual-base,exp5.4,ID,0.4255,0.4255
gpl-gte-multilingual-base,exp1,ID,0.4239,0.4239
gpl-multilingual-e5-base,exp5.0,ID,0.4235,0.4235
BM25,B,ID,0.4211,0.4211
gpl-gte-multilingual-base,exp4.3,ID,0.4197,0.4197
gpl-gte-multilingual-base,exp5.2,ID,0.415,0.415
multilingual-e5-base,B,ID,0.4085,0.4085
gte-multilingual-base,B,ID,0.408,0.408
gpl-multilingual-e5-base,exp3,ID,0.4015,0.4015
gpl-multilingual-e5-base,exp5.3,ID,0.3949,0.3949
gpl-gte-multilingual-base,exp2,ID,0.3849,0.3849
gpl-multilingual-e5-base,exp4.1,ID,0.3787,0.3787
gpl-multilingual-e5-base,exp2,ID,0.3701,0.3701
gpl-gte-multilingual-base,exp4.2,ID,0.3684,0.3684
gpl-multilingual-e5-base,exp5.1,ID,0.3677,0.3677
gpl-gte-multilingual-base,exp3,ID,0.3452,0.3452
gpl-multilingual-e5-base,exp4.2,ID,0.3232,0.3232
gpl-multilingual-e5-base,GPL,ID,0.3228,0.3228
gpl-multilingual-e5-base,exp4,ID,0.321,0.321
gpl-multilingual-e5-base,exp4.3,ID,0.3156,0.3156
gpl-multilingual-e5-base,exp1,ID,0.29,0.29
gpl-multilingual-e5-base,exp5.4,ID,0.2489,0.2489
bge-m3,B,ID,0.0932,0.0932
