Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp5.2-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4658,0.3045,0.1243,0.5209,0.4455,0.29,0.5633,0.3928,0.485,0.5068,0.5465,0.5246,0.125,0.2848,0.238,0.5297,0.6256,-0.396
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6643,0.5049,0.7093,0.6798,0.7026,0.6798,0.6669,0.9522,0.8291,0.8291,0.489,0.5364,0.8656,0.8656,0.5665,0.5294,,-0.393
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2666,0.2299,0.2631,0.2884,0.5785,0.3234,0.659,0.9499,0.7389,0.8016,0.3998,0.5103,0.9645,0.9645,0.5533,0.882,,-0.3096
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6778,0.6099,0.3828,0.6711,0.431,0.6017,0.6064,0.8214,0.618,0.6666,0.6666,0.6351,0.3556,0.3556,0.3771,0.6732,0.5103,-0.2743
ID,multilingual-e5-base,14,apa makna kekosongan,0.9147,0.0,0.1977,0.1169,0.434,0.7131,0.7131,0.7135,0.7239,0.7971,0.7131,0.7131,0.6606,0.7631,0.7053,0.7735,0.7016,0.7053,,-0.2541
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.4165,0.5084,0.234,0.7053,0.3937,0.4049,0.5496,0.6566,0.3946,0.477,0.4567,0.4946,0.688,0.4391,0.4158,0.5075,0.6639,,-0.2273
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7333,0.4968,0.4481,0.564,0.5762,0.53,0.53,0.56,0.6736,0.73,0.4204,0.396,0.5388,0.6812,0.4257,0.4257,0.73,0.8862,0.3942,-0.1945
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.7412,0.4421,0.8101,0.9346,0.957,0.9206,0.8874,0.9711,0.9711,0.9055,0.7809,0.9373,0.9711,0.9711,0.9711,0.9711,0.9106,-0.1512
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.6589,0.2773,0.6221,0.3337,0.4062,0.4062,0.5114,0.5262,0.5707,0.5707,0.4984,0.5147,0.5755,0.5707,0.5755,0.4302,0.6594,-0.1495
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.503,0.542,0.3024,0.6451,0.678,0.7921,0.7725,0.6947,0.6731,0.6731,0.7292,0.6939,0.7292,0.7059,0.7729,0.6999,,-0.1041
