Korpus,Family,query_id,kueri,B,GPL,exp5.0,Δ(exp5.0-B)
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.3721,-0.6279
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.2203,-0.6209
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.5235,-0.4765
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.5895,-0.3668
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3604,0.0,0.0,-0.3604
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.6534,-0.3466
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.5821,-0.3048
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9073,0.8344,0.6291,-0.2782
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.6499,-0.237
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.6505,-0.2216
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9073,0.979,0.7009,-0.2064
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8997,0.7104,0.7021,-0.1976
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.7714,-0.1721
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.6725,-0.1588
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.4562,-0.14
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.7187,-0.1337
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.8688,-0.1312
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1309,0.0506,0.0,-0.1309
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.8412,-0.1101
ID,multilingual-e5-base,30,apa itu proliferasi mental,1.0,1.0,0.9435,-0.0565
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,0.9513,-0.0487
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.4704,0.4959,0.4522,-0.0182
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,1.0,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,1.0,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,1.0,0.0
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,1.0,0.8304,1.0,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,1.0,0.9125,1.0,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.7227,1.0,0.0
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.7075,0.6462,0.7187,0.0112
ID,multilingual-e5-base,16,harta yang paling bernilai,0.9513,1.0,1.0,0.0487
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8304,0.786,0.9026,0.0722
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5635,0.5812,0.6662,0.1027
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,1.0,0.1131
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,0.9563,0.1259
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6608,0.7817,0.7896,0.1288
ID,gte-multilingual-base,14,apa makna kekosongan,0.8688,0.8688,1.0,0.1312
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8688,1.0,1.0,0.1312
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.7714,0.1415
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,0.1461
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8539,0.9125,1.0,0.1461
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.5763,0.7748,0.7389,0.1626
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.4697,0.577,0.6786,0.2089
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.3284,0.2153
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.0974,0.6667,0.3495,0.2521
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4161,0.6786,0.6786,0.2625
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,multilingual-e5-base,10,kriteria kesucian,0.1461,0.1461,0.467,0.3209
