Korpus,Family,query_id,kueri,B,GPL,exp5.4.1,Δ(GPL-B)
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,0.7071,-1.6015
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1026,0.7071,-0.997
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,0.3591,-0.8963
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.0,-0.7071
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-1.0,-0.6767
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.3162,-0.3536,0.6669,-0.6698
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.6124,-0.6324
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.2962,-0.9177,-0.4617,-0.6215
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.866,-0.6025
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.866,-0.5773
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.7826,0.5643,-0.4137
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.6669,0.2635,0.9487,-0.4034
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,-0.1026,0.8721,-0.3262
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,0.0,-0.3009
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5441,0.3078,0.7255,-0.2363
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,0.6708,-0.175
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7906,0.6156,0.527,-0.175
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.7379,0.1539,-0.1281
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.5643,0.4472,0.0,-0.1171
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.866,-0.0936
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.3162,-0.0541
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2294,0.2236,-0.0513,-0.0058
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7071,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.3591,0.3591,,0.0
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.8721,0.527,0.0061
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.7906,0.0145
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.5789,0.0383
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.7826,,0.0571
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.2236,0.0649
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.9487,0.0827
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.6882,0.3953,0.1612
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.7071,0.1873
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.3591,0.4472,0.1969
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,-0.7071,0.2599
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.4472,0.2605
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.866,0.3536
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7071,0.4472
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2052,0.7071,,0.5019
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.2236,0.5314
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1026,0.7071,-0.2887,0.6045
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9747,0.7182,0.686
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.0513,0.7071,-0.7071,0.7584
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.7906,0.2236,0.7906
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.5774,0.9487
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.1054,1.2525
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.6669,0.6882,0.1026,1.3551
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.0,1.4142
