query_id,kueri,Model,Versi,Korpus,nDCG@5
1,cara mengatasi kemarahan,BM25,B,ID,0.3594
2,cara mengatasi ngantuk,BM25,B,ID,0.0
3,apa penyebab penderitaan,BM25,B,ID,0.9513
4,mengapa harus membalas budi orangtua,BM25,B,ID,0.0437
5,perumpamaan perumpamaan,BM25,B,ID,1.0
6,apa itu kemurahan hati,BM25,B,ID,0.7963
7,penjelasan tentang perhatian murni,BM25,B,ID,0.0
8,manfaat pelaksaan sila,BM25,B,ID,0.7699
9,jenis jenis kotoran batin,BM25,B,ID,0.0
10,kriteria kesucian,BM25,B,ID,0.9563
11,siapa yang layak disebut sebagai brahmana,BM25,B,ID,1.0
12,kewajiban seorang bhikkhu,BM25,B,ID,0.3601
13,berbagai jenis pemberian,BM25,B,ID,0.9073
14,apa makna kekosongan,BM25,B,ID,0.1696
15,apa kualitas yang harus dimiliki oleh seorang penceramah,BM25,B,ID,1.0
16,harta yang paling bernilai,BM25,B,ID,0.9563
17,kewajiban seorang umat awam,BM25,B,ID,1.0
18,penyebab gempa bumi,BM25,B,ID,1.0
19,jenis jenis kemelekatan,BM25,B,ID,1.0
20,penggambaran terhadap keagungan buddha,BM25,B,ID,0.7719
21,jenis jenis manusia,BM25,B,ID,0.4469
22,cara mengikis kotoran batin,BM25,B,ID,0.5548
23,penjelasan tentang pandangan terang,BM25,B,ID,0.7591
24,apa yang terjadi pada saat pencapaian pencerahan,BM25,B,ID,1.0
25,perasaan malu dan takut,BM25,B,ID,1.0
26,bersatu di kehidupan selanjutnya,BM25,B,ID,0.9563
27,jenis jenis karma buruk,BM25,B,ID,0.7557
28,berbagai jenis perbuatan baik,BM25,B,ID,0.6844
29,jenis orang yang tak boleh ditahbiskan,BM25,B,ID,0.6955
30,apa itu proliferasi mental,BM25,B,ID,1.0
1,cara mengatasi kemarahan,bge-m3,B,ID,0.5599
2,cara mengatasi ngantuk,bge-m3,B,ID,0.7227
3,apa penyebab penderitaan,bge-m3,B,ID,1.0
4,mengapa harus membalas budi orangtua,bge-m3,B,ID,0.6608
6,apa itu kemurahan hati,bge-m3,B,ID,0.6142
7,penjelasan tentang perhatian murni,bge-m3,B,ID,0.856
8,manfaat pelaksaan sila,bge-m3,B,ID,0.5531
9,jenis jenis kotoran batin,bge-m3,B,ID,0.3856
10,kriteria kesucian,bge-m3,B,ID,0.3392
11,siapa yang layak disebut sebagai brahmana,bge-m3,B,ID,0.6164
