Model,Versi,Korpus,Spearman,Spearman (tanpa heading)
gpl-gte-multilingual-base,exp5.1,ID,0.5831,0.5831
gpl-gte-multilingual-base,exp4.1,ID,0.5727,0.5727
gpl-gte-multilingual-base,exp4,ID,0.5616,0.5616
gpl-gte-multilingual-base,exp5.4.3,ID,0.5603,0.5603
gpl-gte-multilingual-base,exp5.0,ID,0.5567,0.5567
gpl-gte-multilingual-base,exp5.4.1,ID,0.556,0.556
gpl-gte-multilingual-base,exp5.3,ID,0.5442,0.5442
gpl-gte-multilingual-base,exp5.4.2,ID,0.5144,0.5144
gpl-gte-multilingual-base,exp5.4,ID,0.5141,0.5141
gpl-multilingual-e5-base,exp5.0,ID,0.5097,0.5097
multilingual-e5-base,exp5,ID,0.5013,0.5013
gpl-multilingual-e5-base,exp5.1,ID,0.4881,0.4881
gpl-gte-multilingual-base,exp2,ID,0.4825,0.4825
gte-multilingual-base,exp5,ID,0.4777,0.4777
gpl-gte-multilingual-base,exp5.2,ID,0.4768,0.4768
gpl-multilingual-e5-base,exp5.4.1,ID,0.4677,0.4677
gpl-multilingual-e5-base,exp3,ID,0.4612,0.4612
gpl-gte-multilingual-base,exp4.3,ID,0.4529,0.4529
gpl-gte-multilingual-base,exp1,ID,0.4515,0.4515
gpl-gte-multilingual-base,GPL,ID,0.4499,0.4499
gpl-gte-multilingual-base,exp6,ID,0.4484,0.4484
gpl-multilingual-e5-base,exp2,ID,0.4447,0.4447
gpl-multilingual-e5-base,exp5.2,ID,0.4336,0.4336
gpl-multilingual-e5-base,exp5.4,ID,0.4332,0.4332
gpl-gte-multilingual-base,exp3,ID,0.4302,0.4302
gpl-gte-multilingual-base,exp4.2,ID,0.4179,0.4179
BM25,B,ID,0.4161,0.4161
gte-multilingual-base,B,ID,0.3989,0.3989
gpl-multilingual-e5-base,exp5.3,ID,0.3949,0.3949
gpl-multilingual-e5-base,exp4.1,ID,0.3875,0.3875
gpl-multilingual-e5-base,GPL,ID,0.3847,0.3847
gpl-multilingual-e5-base,exp4.2,ID,0.3721,0.3721
multilingual-e5-base,B,ID,0.3573,0.3573
gpl-multilingual-e5-base,exp1,ID,0.3568,0.3568
gpl-multilingual-e5-base,exp5.4.2,ID,0.3546,0.3546
gpl-multilingual-e5-base,exp5.4.3,ID,0.348,0.348
gpl-multilingual-e5-base,exp4.3,ID,0.3364,0.3364
gpl-multilingual-e5-base,exp4,ID,0.3307,0.3307
bge-m3,B,ID,0.0986,0.0986
