Korpus,Family,query_id,kueri,B,GPL,exp5.1,Δ(exp5.1-B)
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.0805,-0.533
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.4275,-0.4836
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.4464,-0.4385
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.519,-0.3461
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.4275,-0.3153
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.3127,-0.2209
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.6667,-0.1745
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.4921,-0.1571
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.6864,-0.1081
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.6745,-0.1052
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9125,-0.0875
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.5108,-0.0874
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9513,-0.0487
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.3673,-0.0482
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.4755,-0.0092
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.8611,0.8442,0.8524,-0.0087
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.5167,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.9125,0.0099
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.9125,0.0099
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.9125,0.0256
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.9435,0.0359
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,0.0437
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4918,0.0459
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.765,0.5882,0.8132,0.0482
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7817,0.0635
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.4054,0.0,0.4748,0.0694
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.3673,0.0872
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,0.9491,0.088
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6745,0.1081
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,1.0,0.11
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.8406,0.1145
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.7235,0.1197
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.5167,0.1308
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,1.0,0.1362
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,1.0,0.1362
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.598,0.1372
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.5388,0.144
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.9026,0.1568
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.9439,0.2074
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.2124
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7851,0.7033,1.0,0.2149
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.4926,0.3713,0.726,0.2334
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.8179,0.2454
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.8498,0.2483
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.8152,0.2686
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,1.0,0.3333
